MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band6,,,,,,,,20,0,0.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band6,,,,,,,,20,0,0.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band6,,,,,,,,20,0,0.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band6,0.1023,0.1543,0.7645,0.0520,0.1274,0.0005,0.0212,20,6,30.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band6,0.1006,0.1773,1.4080,0.0767,0.1280,0.0008,0.0281,20,11,55.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band6,0.1008,0.1852,2.1871,0.0844,0.1367,0.0007,0.0269,20,16,80.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band6,0.1009,0.1852,2.1952,0.0843,0.1372,0.0007,0.0269,20,16,80.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band6,0.1011,0.2047,2.5962,0.1036,0.1527,0.0011,0.0337,20,17,85.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band6,0.1014,0.2047,2.6026,0.1033,0.1531,0.0011,0.0336,20,17,85.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band6,0.1016,0.2409,3.1698,0.1393,0.1668,0.0013,0.0367,20,19,95.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band6,0.1018,0.2411,3.1759,0.1393,0.1672,0.0013,0.0366,20,19,95.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band6,0.1020,0.2413,3.3357,0.1393,0.1756,0.0013,0.0359,20,19,95.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band6,0.1021,0.2416,3.3512,0.1395,0.1764,0.0013,0.0360,20,19,95.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band6,0.1051,0.2418,3.6214,0.1367,0.1906,0.0010,0.0310,20,19,95.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band6,0.1140,0.2425,3.9761,0.1285,0.1988,0.0009,0.0300,20,20,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band6,0.1153,0.2382,3.8817,0.1229,0.1941,0.0008,0.0280,20,20,100.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band6,0.1307,0.2455,3.9493,0.1148,0.1975,0.0008,0.0284,20,20,100.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band6,0.1308,0.2458,3.9639,0.1150,0.1982,0.0008,0.0284,20,20,100.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band6,0.1309,0.2461,3.9787,0.1152,0.1989,0.0008,0.0284,20,20,100.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band6,0.1411,0.2453,4.1006,0.1042,0.2050,0.0006,0.0252,20,20,100.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band6,0.1453,0.2538,4.1451,0.1085,0.2073,0.0007,0.0268,20,20,100.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band6,0.1454,0.2540,4.1874,0.1086,0.2094,0.0007,0.0267,20,20,100.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band6,0.1436,0.2476,4.1756,0.1040,0.2088,0.0007,0.0264,20,20,100.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band6,0.1426,0.2566,4.3020,0.1140,0.2151,0.0008,0.0282,20,20,100.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band6,0.1429,0.2581,4.3204,0.1152,0.2160,0.0008,0.0284,20,20,100.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band6,0.1431,0.2553,4.3531,0.1122,0.2177,0.0009,0.0297,20,20,100.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band6,0.1459,0.2820,4.4796,0.1361,0.2240,0.0010,0.0316,20,20,100.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band6,0.1470,0.2758,4.4642,0.1288,0.2232,0.0009,0.0307,20,20,100.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band6,0.1413,0.2792,4.5584,0.1379,0.2279,0.0010,0.0310,20,20,100.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band6,0.1421,0.2807,4.5869,0.1386,0.2293,0.0010,0.0312,20,20,100.00
A2000085,2000-03-25,MCD43A4,Nadir_Reflectance_Band6,0.1472,0.2845,4.7106,0.1373,0.2355,0.0010,0.0317,20,20,100.00
A2000086,2000-03-26,MCD43A4,Nadir_Reflectance_Band6,0.1486,0.2862,4.7487,0.1376,0.2374,0.0010,0.0316,20,20,100.00
A2000087,2000-03-27,MCD43A4,Nadir_Reflectance_Band6,0.1494,0.2895,4.8420,0.1401,0.2421,0.0010,0.0321,20,20,100.00
A2000088,2000-03-28,MCD43A4,Nadir_Reflectance_Band6,0.1509,0.2931,4.9226,0.1422,0.2461,0.0010,0.0315,20,20,100.00
A2000089,2000-03-29,MCD43A4,Nadir_Reflectance_Band6,0.1453,0.2946,4.9426,0.1493,0.2471,0.0011,0.0327,20,20,100.00
A2000090,2000-03-30,MCD43A4,Nadir_Reflectance_Band6,0.1443,0.2982,5.0066,0.1539,0.2503,0.0011,0.0339,20,20,100.00
A2000091,2000-03-31,MCD43A4,Nadir_Reflectance_Band6,0.1474,0.2986,4.9982,0.1512,0.2499,0.0011,0.0339,20,20,100.00
A2000092,2000-04-01,MCD43A4,Nadir_Reflectance_Band6,0.1493,0.2962,5.0121,0.1469,0.2506,0.0010,0.0318,20,20,100.00
A2000093,2000-04-02,MCD43A4,Nadir_Reflectance_Band6,0.1491,0.2968,5.0142,0.1477,0.2507,0.0010,0.0318,20,20,100.00
A2000094,2000-04-03,MCD43A4,Nadir_Reflectance_Band6,0.1522,0.2988,5.0370,0.1466,0.2519,0.0010,0.0313,20,20,100.00
A2000095,2000-04-04,MCD43A4,Nadir_Reflectance_Band6,0.1551,0.3002,5.0768,0.1451,0.2538,0.0010,0.0310,20,20,100.00
A2000096,2000-04-05,MCD43A4,Nadir_Reflectance_Band6,0.1557,0.3014,5.0950,0.1457,0.2547,0.0010,0.0311,20,20,100.00
A2000097,2000-04-06,MCD43A4,Nadir_Reflectance_Band6,0.1536,0.3026,5.1179,0.1490,0.2559,0.0010,0.0317,20,20,100.00
A2000098,2000-04-07,MCD43A4,Nadir_Reflectance_Band6,0.1548,0.3040,5.1294,0.1492,0.2565,0.0010,0.0316,20,20,100.00
A2000099,2000-04-08,MCD43A4,Nadir_Reflectance_Band6,0.1588,0.3008,5.1371,0.1420,0.2569,0.0009,0.0296,20,20,100.00
A2000100,2000-04-09,MCD43A4,Nadir_Reflectance_Band6,0.1604,0.3029,5.2083,0.1425,0.2604,0.0009,0.0295,20,20,100.00
A2000101,2000-04-10,MCD43A4,Nadir_Reflectance_Band6,0.1607,0.3040,5.2270,0.1433,0.2614,0.0009,0.0296,20,20,100.00
A2000102,2000-04-11,MCD43A4,Nadir_Reflectance_Band6,0.1611,0.3050,5.2451,0.1439,0.2623,0.0009,0.0297,20,20,100.00
A2000103,2000-04-12,MCD43A4,Nadir_Reflectance_Band6,0.1620,0.3054,5.2337,0.1434,0.2617,0.0009,0.0298,20,20,100.00
A2000104,2000-04-13,MCD43A4,Nadir_Reflectance_Band6,0.1619,0.3048,5.2327,0.1429,0.2616,0.0009,0.0296,20,20,100.00
A2000105,2000-04-14,MCD43A4,Nadir_Reflectance_Band6,0.1653,0.3066,5.2674,0.1413,0.2634,0.0009,0.0295,20,20,100.00
A2000106,2000-04-15,MCD43A4,Nadir_Reflectance_Band6,0.1779,0.3071,5.3772,0.1292,0.2689,0.0008,0.0284,20,20,100.00
A2000107,2000-04-16,MCD43A4,Nadir_Reflectance_Band6,0.1750,0.3091,5.4218,0.1341,0.2711,0.0008,0.0289,20,20,100.00
A2000108,2000-04-17,MCD43A4,Nadir_Reflectance_Band6,0.1809,0.3132,5.5073,0.1323,0.2754,0.0009,0.0299,20,20,100.00
A2000109,2000-04-18,MCD43A4,Nadir_Reflectance_Band6,0.1856,0.3147,5.5239,0.1291,0.2762,0.0009,0.0296,20,20,100.00
A2000110,2000-04-19,MCD43A4,Nadir_Reflectance_Band6,0.1865,0.3157,5.5405,0.1292,0.2770,0.0010,0.0317,20,20,100.00
A2000111,2000-04-20,MCD43A4,Nadir_Reflectance_Band6,0.1864,0.3156,5.5380,0.1292,0.2769,0.0010,0.0320,20,20,100.00
A2000112,2000-04-21,MCD43A4,Nadir_Reflectance_Band6,0.1875,0.3172,5.5655,0.1297,0.2783,0.0010,0.0322,20,20,100.00
A2000113,2000-04-22,MCD43A4,Nadir_Reflectance_Band6,0.1897,0.3215,5.5748,0.1318,0.2787,0.0011,0.0325,20,20,100.00
A2000114,2000-04-23,MCD43A4,Nadir_Reflectance_Band6,0.1897,0.3272,5.6503,0.1375,0.2825,0.0012,0.0345,20,20,100.00
A2000115,2000-04-24,MCD43A4,Nadir_Reflectance_Band6,0.2050,0.3354,5.7577,0.1304,0.2879,0.0012,0.0342,20,20,100.00
A2000116,2000-04-25,MCD43A4,Nadir_Reflectance_Band6,0.2172,0.3403,5.8424,0.1231,0.2921,0.0009,0.0299,20,20,100.00
A2000117,2000-04-26,MCD43A4,Nadir_Reflectance_Band6,0.2128,0.3348,5.7103,0.1220,0.2855,0.0010,0.0312,20,20,100.00
A2000118,2000-04-27,MCD43A4,Nadir_Reflectance_Band6,0.2131,0.3358,5.7222,0.1227,0.2861,0.0010,0.0313,20,20,100.00
A2000119,2000-04-28,MCD43A4,Nadir_Reflectance_Band6,0.2134,0.3368,5.7261,0.1234,0.2863,0.0010,0.0312,20,20,100.00
A2000120,2000-04-29,MCD43A4,Nadir_Reflectance_Band6,0.2113,0.3281,5.7120,0.1168,0.2856,0.0009,0.0295,20,20,100.00
A2000121,2000-04-30,MCD43A4,Nadir_Reflectance_Band6,0.2216,0.3375,5.7390,0.1159,0.2870,0.0009,0.0296,20,20,100.00
A2000122,2000-05-01,MCD43A4,Nadir_Reflectance_Band6,0.2261,0.3380,5.7925,0.1119,0.2896,0.0009,0.0298,20,20,100.00
A2000123,2000-05-02,MCD43A4,Nadir_Reflectance_Band6,0.2323,0.3453,5.7928,0.1130,0.2896,0.0011,0.0332,20,20,100.00
