date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band4,,,,,,,,25,0,0.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band4,,,,,,,,25,0,0.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band4,,,,,,,,25,0,0.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band4,,,,,,,,25,0,0.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band4,0.0817,0.0916,0.1733,0.0099,0.0866,0.0000,0.0050,25,2,8.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band4,0.0733,0.1682,2.2417,0.0949,0.1180,0.0011,0.0325,25,19,76.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band4,0.0734,0.1686,2.4072,0.0952,0.1204,0.0011,0.0331,25,20,80.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band4,0.0735,0.1691,2.4127,0.0956,0.1206,0.0011,0.0332,25,20,80.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band4,0.0737,0.1711,2.8917,0.0974,0.1257,0.0011,0.0324,25,23,92.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band4,0.0738,0.1715,2.8971,0.0977,0.1260,0.0011,0.0326,25,23,92.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band4,0.0739,0.1719,2.9019,0.0980,0.1262,0.0011,0.0327,25,23,92.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band4,0.0741,0.1724,2.9104,0.0983,0.1265,0.0011,0.0328,25,23,92.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band4,0.0742,0.1730,2.9190,0.0988,0.1269,0.0011,0.0329,25,23,92.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band4,0.0770,0.1668,3.1221,0.0898,0.1249,0.0009,0.0296,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band4,0.0791,0.1630,3.0691,0.0839,0.1228,0.0008,0.0277,25,25,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band4,0.0784,0.1647,3.0679,0.0863,0.1227,0.0008,0.0277,25,25,100.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band4,0.0789,0.1696,3.1002,0.0907,0.1240,0.0008,0.0285,25,25,100.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band4,0.0802,0.1721,3.1262,0.0919,0.1250,0.0009,0.0294,25,25,100.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band4,0.0805,0.1727,3.1343,0.0922,0.1254,0.0009,0.0296,25,25,100.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band4,0.0817,0.1703,3.1555,0.0886,0.1262,0.0008,0.0284,25,25,100.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band4,0.0819,0.1710,3.1638,0.0891,0.1266,0.0008,0.0285,25,25,100.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band4,0.0820,0.1715,3.2036,0.0895,0.1281,0.0008,0.0279,25,25,100.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band4,0.0822,0.1721,3.2135,0.0899,0.1285,0.0008,0.0280,25,25,100.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band4,0.0825,0.1726,3.2240,0.0901,0.1290,0.0008,0.0281,25,25,100.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band4,0.0828,0.1733,3.2430,0.0905,0.1297,0.0008,0.0282,25,25,100.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band4,0.0831,0.1738,3.2541,0.0907,0.1302,0.0008,0.0282,25,25,100.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band4,0.0838,0.1724,3.2546,0.0886,0.1302,0.0008,0.0280,25,25,100.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band4,0.0834,0.1703,3.2291,0.0869,0.1292,0.0008,0.0275,25,25,100.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band4,0.0822,0.1700,3.2496,0.0878,0.1300,0.0008,0.0278,25,25,100.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band4,0.0822,0.1697,3.2523,0.0875,0.1301,0.0008,0.0275,25,25,100.00
A2000085,2000-03-25,MCD43A4,Nadir_Reflectance_Band4,0.0838,0.1705,3.2758,0.0867,0.1310,0.0007,0.0271,25,25,100.00
