date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band2,0.2019,0.2379,1.3090,0.0360,0.2182,0.0002,0.0125,25,6,24.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band2,0.1668,0.2160,2.8725,0.0492,0.1915,0.0002,0.0136,25,15,60.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band2,0.1669,0.2162,2.8755,0.0493,0.1917,0.0002,0.0137,25,15,60.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band2,0.1616,0.2113,4.0397,0.0497,0.1836,0.0002,0.0139,25,22,88.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band2,0.1617,0.2112,4.0397,0.0495,0.1836,0.0002,0.0138,25,22,88.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band2,0.1619,0.2111,4.5591,0.0492,0.1824,0.0002,0.0135,25,25,100.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band2,0.1508,0.1960,4.2589,0.0452,0.1704,0.0001,0.0119,25,25,100.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band2,0.1510,0.1951,4.2535,0.0441,0.1701,0.0001,0.0116,25,25,100.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band2,0.1512,0.1943,4.2484,0.0431,0.1699,0.0001,0.0113,25,25,100.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band2,0.1591,0.1945,4.4704,0.0354,0.1788,0.0001,0.0109,25,25,100.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band2,0.1593,0.2243,4.5435,0.0650,0.1817,0.0002,0.0153,25,25,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band2,0.1591,0.2261,4.5475,0.0670,0.1819,0.0002,0.0157,25,25,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band2,0.1549,0.2239,4.4712,0.0690,0.1788,0.0003,0.0158,25,25,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band2,0.1493,0.2317,4.8530,0.0824,0.1941,0.0007,0.0267,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band2,0.1536,0.2314,5.0720,0.0778,0.2029,0.0004,0.0205,25,25,100.00
