date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band5,0.1705,0.2986,3.8858,0.1281,0.2429,0.0012,0.0353,25,16,64.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band5,0.1706,0.2985,3.8861,0.1279,0.2429,0.0012,0.0352,25,16,64.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band5,0.1702,0.2969,4.1177,0.1267,0.2422,0.0012,0.0341,25,17,68.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band5,0.1702,0.2384,2.0549,0.0682,0.2055,0.0005,0.0220,25,10,40.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band5,0.1739,0.2384,1.7038,0.0645,0.2130,0.0003,0.0182,25,8,32.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band5,0.1734,0.2632,1.9643,0.0898,0.2183,0.0005,0.0234,25,9,36.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band5,0.1729,0.2632,1.9621,0.0903,0.2180,0.0006,0.0235,25,9,36.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band5,0.1731,0.2632,1.9634,0.0901,0.2182,0.0005,0.0234,25,9,36.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band5,0.1733,0.2632,1.9646,0.0899,0.2183,0.0005,0.0234,25,9,36.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band5,0.1734,0.2632,1.9657,0.0898,0.2184,0.0005,0.0233,25,9,36.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band5,0.1736,0.2631,1.5158,0.0895,0.2165,0.0006,0.0251,25,7,28.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band5,0.1738,0.2272,1.2540,0.0534,0.2090,0.0003,0.0177,25,6,24.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band5,0.1740,0.2275,1.2553,0.0535,0.2092,0.0003,0.0178,25,6,24.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band5,,,,,,,,25,0,0.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band5,0.1509,0.2419,0.9866,0.0910,0.1973,0.0011,0.0327,25,5,20.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band5,,,,,,,,25,0,0.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band5,0.1875,0.3138,4.3858,0.1263,0.2437,0.0011,0.0335,25,18,72.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band5,0.1808,0.3141,5.8241,0.1333,0.2330,0.0008,0.0290,25,25,100.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band5,0.1810,0.3144,5.8307,0.1334,0.2332,0.0008,0.0291,25,25,100.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band5,0.1778,0.3041,5.7955,0.1263,0.2318,0.0008,0.0279,25,25,100.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band5,0.1780,0.3044,5.8019,0.1264,0.2321,0.0008,0.0279,25,25,100.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band5,0.1783,0.3048,5.8088,0.1265,0.2324,0.0008,0.0280,25,25,100.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band5,0.1785,0.3048,5.8141,0.1263,0.2326,0.0008,0.0278,25,25,100.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band5,0.1788,0.3048,5.8196,0.1260,0.2328,0.0008,0.0276,25,25,100.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band5,0.1620,0.2948,5.6189,0.1328,0.2248,0.0008,0.0277,25,25,100.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band5,0.1626,0.2944,5.6172,0.1318,0.2247,0.0008,0.0276,25,25,100.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band5,0.1633,0.2905,5.5909,0.1272,0.2236,0.0007,0.0262,25,25,100.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band5,0.1898,0.2991,5.8833,0.1093,0.2353,0.0007,0.0265,25,25,100.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band5,0.1904,0.2981,5.9726,0.1077,0.2389,0.0006,0.0247,25,25,100.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band5,0.1909,0.2990,5.9936,0.1081,0.2397,0.0006,0.0249,25,25,100.00
A2000085,2000-03-25,MCD43A4,Nadir_Reflectance_Band5,0.1915,0.2951,6.0518,0.1036,0.2421,0.0005,0.0218,25,25,100.00
A2000086,2000-03-26,MCD43A4,Nadir_Reflectance_Band5,0.1920,0.2960,6.0723,0.1040,0.2429,0.0005,0.0219,25,25,100.00
A2000087,2000-03-27,MCD43A4,Nadir_Reflectance_Band5,0.1902,0.3043,6.2911,0.1141,0.2516,0.0006,0.0241,25,25,100.00
A2000088,2000-03-28,MCD43A4,Nadir_Reflectance_Band5,0.2200,0.3056,6.3746,0.0856,0.2550,0.0004,0.0207,25,25,100.00
A2000089,2000-03-29,MCD43A4,Nadir_Reflectance_Band5,0.2209,0.3068,6.4214,0.0859,0.2569,0.0004,0.0202,25,25,100.00
A2000090,2000-03-30,MCD43A4,Nadir_Reflectance_Band5,0.2241,0.3084,6.4440,0.0843,0.2578,0.0004,0.0212,25,25,100.00
A2000091,2000-03-31,MCD43A4,Nadir_Reflectance_Band5,0.2250,0.3099,6.4744,0.0849,0.2590,0.0005,0.0215,25,25,100.00
A2000092,2000-04-01,MCD43A4,Nadir_Reflectance_Band5,0.2249,0.3067,6.4694,0.0818,0.2588,0.0004,0.0201,25,25,100.00
A2000093,2000-04-02,MCD43A4,Nadir_Reflectance_Band5,0.2257,0.3079,6.4980,0.0822,0.2599,0.0004,0.0203,25,25,100.00
A2000094,2000-04-03,MCD43A4,Nadir_Reflectance_Band5,0.2266,0.3091,6.5268,0.0825,0.2611,0.0004,0.0206,25,25,100.00
A2000095,2000-04-04,MCD43A4,Nadir_Reflectance_Band5,0.2302,0.3123,6.6197,0.0821,0.2648,0.0004,0.0204,25,25,100.00
A2000096,2000-04-05,MCD43A4,Nadir_Reflectance_Band5,0.2204,0.3134,6.6675,0.0930,0.2667,0.0005,0.0213,25,25,100.00
A2000097,2000-04-06,MCD43A4,Nadir_Reflectance_Band5,0.2209,0.3149,6.7132,0.0940,0.2685,0.0005,0.0216,25,25,100.00
A2000098,2000-04-07,MCD43A4,Nadir_Reflectance_Band5,0.2266,0.3101,6.7867,0.0835,0.2715,0.0004,0.0209,25,25,100.00
A2000099,2000-04-08,MCD43A4,Nadir_Reflectance_Band5,0.2273,0.3113,6.8850,0.0840,0.2754,0.0005,0.0218,25,25,100.00
