MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band2,0.3417,0.6570,7.1129,0.3153,0.5471,0.0081,0.0902,25,13,52.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band2,0.3419,0.6570,7.1134,0.3151,0.5472,0.0081,0.0901,25,13,52.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band2,0.3420,0.6650,7.0936,0.3230,0.5457,0.0081,0.0898,25,13,52.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band2,0.3044,0.6651,7.4223,0.3607,0.5302,0.0121,0.1102,25,14,56.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band2,0.3043,0.6651,7.4209,0.3608,0.5301,0.0122,0.1103,25,14,56.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band2,0.3043,0.6651,7.3891,0.3608,0.5278,0.0123,0.1108,25,14,56.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band2,0.3043,0.6647,7.7130,0.3604,0.5142,0.0120,0.1094,25,15,60.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band2,0.3043,0.6416,7.6402,0.3373,0.4775,0.0119,0.1089,25,16,64.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band2,0.3045,0.6659,7.6951,0.3614,0.4809,0.0132,0.1150,25,16,64.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band2,0.3046,0.6663,7.5202,0.3617,0.4700,0.0127,0.1127,25,16,64.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band2,0.3048,0.6154,6.8803,0.3106,0.4587,0.0088,0.0937,25,15,60.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band2,0.3048,0.6708,5.6846,0.3660,0.4373,0.0090,0.0950,25,13,52.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band2,0.3048,0.6708,5.6876,0.3660,0.4375,0.0090,0.0950,25,13,52.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band2,0.3048,0.6708,5.6908,0.3660,0.4378,0.0090,0.0949,25,13,52.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band2,0.3047,0.6697,4.8662,0.3650,0.4424,0.0094,0.0969,25,11,44.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band2,0.3047,0.6697,4.1216,0.3650,0.4122,0.0112,0.1058,25,10,40.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band2,0.3045,0.5061,1.9596,0.2016,0.3919,0.0060,0.0773,25,5,20.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band2,0.3047,0.5074,1.9621,0.2027,0.3924,0.0060,0.0777,25,5,20.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band2,,,,,,,,25,0,0.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band2,,,,,,,,25,0,0.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band2,,,,,,,,25,0,0.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band2,,,,,,,,25,0,0.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band2,0.2560,0.2593,0.5153,0.0033,0.2577,0.0000,0.0016,25,2,8.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band2,0.2560,0.2594,0.5154,0.0034,0.2577,0.0000,0.0017,25,2,8.00
