date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band7,0.0640,0.1875,1.4330,0.1235,0.1102,0.0024,0.0488,25,13,52.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band7,0.0640,0.1877,1.4340,0.1237,0.1103,0.0024,0.0489,25,13,52.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band7,0.0640,0.2370,1.5187,0.1730,0.1168,0.0031,0.0553,25,13,52.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band7,0.0639,0.2371,1.6456,0.1732,0.1175,0.0025,0.0499,25,14,56.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band7,0.0638,0.2372,1.6700,0.1734,0.1193,0.0025,0.0497,25,14,56.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band7,0.0587,0.2373,1.6665,0.1786,0.1190,0.0025,0.0502,25,14,56.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band7,0.0585,0.2368,1.7200,0.1783,0.1147,0.0023,0.0474,25,15,60.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band7,0.0544,0.2363,2.0223,0.1819,0.1264,0.0028,0.0528,25,16,64.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band7,0.0545,0.2358,1.9952,0.1813,0.1247,0.0028,0.0525,25,16,64.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band7,0.0545,0.2354,1.9691,0.1809,0.1231,0.0027,0.0522,25,16,64.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band7,0.0545,0.2353,1.8613,0.1808,0.1241,0.0025,0.0498,25,15,60.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band7,0.0545,0.2353,1.9653,0.1808,0.1512,0.0028,0.0534,25,13,52.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band7,0.0545,0.2353,1.9658,0.1808,0.1512,0.0029,0.0535,25,13,52.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band7,0.0545,0.2353,1.9664,0.1808,0.1513,0.0029,0.0536,25,13,52.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band7,0.0546,0.1896,1.4251,0.1350,0.1296,0.0023,0.0478,25,11,44.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band7,0.0942,0.1899,1.4930,0.0957,0.1493,0.0016,0.0398,25,10,40.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band7,0.1888,0.1902,0.9482,0.0014,0.1896,0.0000,0.0005,25,5,20.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band7,0.1891,0.1905,0.9497,0.0014,0.1899,0.0000,0.0005,25,5,20.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band7,,,,,,,,25,0,0.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band7,,,,,,,,25,0,0.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band7,,,,,,,,25,0,0.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band7,,,,,,,,25,0,0.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band7,0.2891,0.2987,0.5878,0.0096,0.2939,0.0000,0.0048,25,2,8.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band7,0.2896,0.2996,0.5892,0.0100,0.2946,0.0000,0.0050,25,2,8.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band7,0.1318,0.3004,3.0059,0.1686,0.1768,0.0024,0.0485,25,17,68.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band7,0.1321,0.3012,3.0137,0.1691,0.1773,0.0024,0.0486,25,17,68.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band7,0.1324,0.3021,3.0213,0.1697,0.1777,0.0024,0.0487,25,17,68.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band7,0.1327,0.3029,3.0289,0.1702,0.1782,0.0024,0.0489,25,17,68.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band7,0.1330,0.3037,3.0364,0.1707,0.1786,0.0024,0.0490,25,17,68.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band7,0.1241,0.3046,3.2724,0.1805,0.1636,0.0034,0.0584,25,20,80.00
A2000085,2000-03-25,MCD43A4,Nadir_Reflectance_Band7,0.1243,0.2535,3.1283,0.1292,0.1564,0.0019,0.0441,25,20,80.00
A2000086,2000-03-26,MCD43A4,Nadir_Reflectance_Band7,0.1258,0.3491,4.0762,0.2233,0.2038,0.0052,0.0723,25,20,80.00
A2000087,2000-03-27,MCD43A4,Nadir_Reflectance_Band7,0.1433,0.3501,4.7945,0.2068,0.2283,0.0042,0.0649,25,21,84.00
A2000088,2000-03-28,MCD43A4,Nadir_Reflectance_Band7,0.1445,0.3508,4.8114,0.2063,0.2291,0.0042,0.0646,25,21,84.00
A2000089,2000-03-29,MCD43A4,Nadir_Reflectance_Band7,0.1634,0.3487,5.6218,0.1853,0.2342,0.0028,0.0528,25,24,96.00
A2000090,2000-03-30,MCD43A4,Nadir_Reflectance_Band7,0.1646,0.3501,5.6396,0.1855,0.2350,0.0028,0.0525,25,24,96.00
A2000091,2000-03-31,MCD43A4,Nadir_Reflectance_Band7,0.1797,0.3357,5.8204,0.1560,0.2425,0.0024,0.0493,25,24,96.00
A2000092,2000-04-01,MCD43A4,Nadir_Reflectance_Band7,0.1813,0.3362,5.8659,0.1549,0.2444,0.0024,0.0489,25,24,96.00
A2000093,2000-04-02,MCD43A4,Nadir_Reflectance_Band7,0.1813,0.3645,5.9560,0.1832,0.2482,0.0031,0.0557,25,24,96.00
A2000094,2000-04-03,MCD43A4,Nadir_Reflectance_Band7,0.1209,0.3366,6.1823,0.2157,0.2473,0.0031,0.0558,25,25,100.00
A2000095,2000-04-04,MCD43A4,Nadir_Reflectance_Band7,0.1212,0.3366,6.0813,0.2154,0.2433,0.0028,0.0527,25,25,100.00
A2000096,2000-04-05,MCD43A4,Nadir_Reflectance_Band7,0.1214,0.3464,6.2411,0.2250,0.2496,0.0029,0.0539,25,25,100.00
A2000097,2000-04-06,MCD43A4,Nadir_Reflectance_Band7,0.1216,0.3486,6.2705,0.2270,0.2508,0.0029,0.0540,25,25,100.00
A2000098,2000-04-07,MCD43A4,Nadir_Reflectance_Band7,0.1218,0.3508,6.2907,0.2290,0.2516,0.0030,0.0546,25,25,100.00
A2000099,2000-04-08,MCD43A4,Nadir_Reflectance_Band7,0.1229,0.3524,6.1899,0.2295,0.2476,0.0026,0.0514,25,25,100.00
A2000100,2000-04-09,MCD43A4,Nadir_Reflectance_Band7,0.1240,0.3583,6.5712,0.2343,0.2628,0.0035,0.0593,25,25,100.00
A2000101,2000-04-10,MCD43A4,Nadir_Reflectance_Band7,0.1251,0.3419,6.4426,0.2168,0.2577,0.0029,0.0541,25,25,100.00
A2000102,2000-04-11,MCD43A4,Nadir_Reflectance_Band7,0.1252,0.3387,6.1452,0.2135,0.2458,0.0024,0.0494,25,25,100.00
A2000103,2000-04-12,MCD43A4,Nadir_Reflectance_Band7,0.1254,0.3336,5.8483,0.2082,0.2339,0.0021,0.0453,25,25,100.00
A2000104,2000-04-13,MCD43A4,Nadir_Reflectance_Band7,0.1255,0.3329,5.8542,0.2074,0.2342,0.0020,0.0448,25,25,100.00
A2000105,2000-04-14,MCD43A4,Nadir_Reflectance_Band7,0.1256,0.3559,5.9524,0.2303,0.2381,0.0023,0.0482,25,25,100.00
A2000106,2000-04-15,MCD43A4,Nadir_Reflectance_Band7,0.1258,0.3546,5.9562,0.2288,0.2382,0.0023,0.0476,25,25,100.00
A2000107,2000-04-16,MCD43A4,Nadir_Reflectance_Band7,0.1629,0.3447,5.8094,0.1818,0.2526,0.0023,0.0479,25,23,92.00
A2000108,2000-04-17,MCD43A4,Nadir_Reflectance_Band7,0.1632,0.3435,5.8170,0.1803,0.2529,0.0023,0.0476,25,23,92.00
A2000109,2000-04-18,MCD43A4,Nadir_Reflectance_Band7,0.1635,0.3447,5.8377,0.1812,0.2538,0.0023,0.0479,25,23,92.00
A2000110,2000-04-19,MCD43A4,Nadir_Reflectance_Band7,0.1644,0.3324,5.2056,0.1680,0.2263,0.0022,0.0471,25,23,92.00
A2000111,2000-04-20,MCD43A4,Nadir_Reflectance_Band7,0.2248,0.3774,5.6136,0.1526,0.2673,0.0018,0.0418,25,21,84.00
A2000112,2000-04-21,MCD43A4,Nadir_Reflectance_Band7,0.2169,0.3070,4.4626,0.0901,0.2479,0.0004,0.0205,25,18,72.00
A2000113,2000-04-22,MCD43A4,Nadir_Reflectance_Band7,0.2173,0.3097,4.4767,0.0924,0.2487,0.0004,0.0211,25,18,72.00
A2000114,2000-04-23,MCD43A4,Nadir_Reflectance_Band7,0.2306,0.3094,5.6642,0.0788,0.2575,0.0004,0.0198,25,22,88.00
A2000115,2000-04-24,MCD43A4,Nadir_Reflectance_Band7,0.2135,0.3104,6.1999,0.0969,0.2480,0.0007,0.0260,25,25,100.00
A2000116,2000-04-25,MCD43A4,Nadir_Reflectance_Band7,0.2094,0.3103,6.1689,0.1009,0.2468,0.0007,0.0272,25,25,100.00
A2000117,2000-04-26,MCD43A4,Nadir_Reflectance_Band7,0.1798,0.3284,6.3775,0.1486,0.2551,0.0015,0.0382,25,25,100.00
A2000118,2000-04-27,MCD43A4,Nadir_Reflectance_Band7,0.1801,0.3280,6.3810,0.1479,0.2552,0.0014,0.0381,25,25,100.00
A2000119,2000-04-28,MCD43A4,Nadir_Reflectance_Band7,0.1568,0.3281,6.5864,0.1713,0.2635,0.0017,0.0411,25,25,100.00
A2000120,2000-04-29,MCD43A4,Nadir_Reflectance_Band7,0.2122,0.3225,6.3313,0.1103,0.2533,0.0009,0.0295,25,25,100.00
A2000121,2000-04-30,MCD43A4,Nadir_Reflectance_Band7,0.1866,0.3340,6.4582,0.1474,0.2583,0.0013,0.0364,25,25,100.00
A2000122,2000-05-01,MCD43A4,Nadir_Reflectance_Band7,0.1850,0.3348,6.4540,0.1498,0.2582,0.0014,0.0369,25,25,100.00
A2000123,2000-05-02,MCD43A4,Nadir_Reflectance_Band7,0.1833,0.3092,6.2656,0.1259,0.2506,0.0012,0.0340,25,25,100.00
