MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band6,0.3309,0.3573,0.6882,0.0264,0.3441,0.0002,0.0132,25,2,8.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band6,0.2574,0.3576,1.2145,0.1002,0.3036,0.0018,0.0420,25,4,16.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band6,0.2259,0.3580,2.6981,0.1321,0.2698,0.0016,0.0402,25,10,40.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band6,0.2262,0.3585,2.6935,0.1323,0.2693,0.0015,0.0390,25,10,40.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band6,0.2266,0.3590,2.6978,0.1324,0.2698,0.0015,0.0391,25,10,40.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band6,0.2271,0.3598,2.7029,0.1327,0.2703,0.0015,0.0392,25,10,40.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band6,0.2275,0.3606,2.7121,0.1331,0.2712,0.0016,0.0399,25,10,40.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band6,0.2280,0.3580,3.0655,0.1300,0.2787,0.0020,0.0443,25,11,44.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band6,0.2285,0.3895,4.9666,0.1610,0.2922,0.0022,0.0467,25,17,68.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band6,0.1914,0.3985,6.4675,0.2071,0.2940,0.0025,0.0496,25,22,88.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band6,0.1919,0.3803,7.4125,0.1884,0.2965,0.0019,0.0434,25,25,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band6,0.2075,0.3808,7.5051,0.1733,0.3002,0.0018,0.0429,25,25,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band6,0.2083,0.3813,7.5196,0.1730,0.3008,0.0018,0.0428,25,25,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band6,0.2090,0.3719,7.5022,0.1629,0.3001,0.0018,0.0419,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band6,0.2098,0.3709,7.4995,0.1611,0.3000,0.0017,0.0413,25,25,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band6,0.2105,0.3717,7.4733,0.1612,0.2989,0.0019,0.0432,25,25,100.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band6,0.2113,0.3724,7.4930,0.1611,0.2997,0.0019,0.0431,25,25,100.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band6,0.2123,0.3725,7.5183,0.1602,0.3007,0.0019,0.0431,25,25,100.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band6,0.2182,0.3732,7.6290,0.1550,0.3052,0.0015,0.0385,25,25,100.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band6,0.2187,0.3739,7.6475,0.1552,0.3059,0.0015,0.0386,25,25,100.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band6,0.2192,0.3746,7.6661,0.1554,0.3066,0.0015,0.0388,25,25,100.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band6,0.2197,0.3753,7.6859,0.1556,0.3074,0.0015,0.0389,25,25,100.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band6,0.2230,0.3763,7.6817,0.1533,0.3073,0.0016,0.0397,25,25,100.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band6,0.2236,0.3772,7.6913,0.1536,0.3077,0.0016,0.0396,25,25,100.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band6,0.2475,0.3810,7.7922,0.1335,0.3117,0.0013,0.0358,25,25,100.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band6,0.2437,0.3818,7.8291,0.1381,0.3132,0.0012,0.0341,25,25,100.00
