date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band6,0.1412,0.2922,5.9218,0.1510,0.2369,0.0015,0.0382,25,25,100.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band6,0.1413,0.2925,5.9262,0.1512,0.2370,0.0015,0.0382,25,25,100.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band6,0.1413,0.2928,5.9305,0.1515,0.2372,0.0015,0.0382,25,25,100.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band6,0.1414,0.2929,5.9275,0.1515,0.2371,0.0015,0.0382,25,25,100.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band6,0.1569,0.3014,6.1414,0.1445,0.2457,0.0014,0.0375,25,25,100.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band6,0.1603,0.3018,6.1329,0.1415,0.2453,0.0013,0.0363,25,25,100.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band6,0.1606,0.2814,5.8539,0.1208,0.2342,0.0010,0.0317,25,25,100.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band6,0.1609,0.2826,5.9835,0.1217,0.2393,0.0011,0.0330,25,25,100.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band6,0.1612,0.2826,5.9932,0.1214,0.2397,0.0011,0.0330,25,25,100.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band6,0.1801,0.3102,6.2535,0.1301,0.2501,0.0009,0.0306,25,25,100.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band6,0.1717,0.3118,6.2648,0.1401,0.2506,0.0010,0.0314,25,25,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band6,0.1584,0.3133,6.2830,0.1549,0.2513,0.0011,0.0328,25,25,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band6,0.1835,0.3153,6.3459,0.1318,0.2538,0.0009,0.0307,25,25,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band6,0.1832,0.3039,6.3732,0.1207,0.2549,0.0009,0.0295,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band6,0.1864,0.3051,6.5114,0.1187,0.2605,0.0008,0.0286,25,25,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band6,0.1830,0.3176,6.4965,0.1346,0.2599,0.0010,0.0318,25,25,100.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band6,0.1889,0.3126,6.5242,0.1237,0.2610,0.0009,0.0294,25,25,100.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band6,0.1892,0.3156,6.5955,0.1264,0.2638,0.0008,0.0284,25,25,100.00
