date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band2,0.1954,0.1954,0.1954,0.0000,0.1954,0.0000,0.0000,25,1,4.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band2,0.1956,0.1956,0.1956,0.0000,0.1956,0.0000,0.0000,25,1,4.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band2,0.1302,0.1875,2.3058,0.0573,0.1537,0.0002,0.0157,25,15,60.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band2,0.1303,0.1881,2.3062,0.0578,0.1537,0.0002,0.0157,25,15,60.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band2,0.1232,0.1889,3.7209,0.0657,0.1488,0.0002,0.0151,25,25,100.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band2,0.1213,0.1823,3.7182,0.0610,0.1487,0.0002,0.0132,25,25,100.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band2,0.1327,0.2018,3.8180,0.0691,0.1527,0.0002,0.0132,25,25,100.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band2,0.1328,0.2028,3.8229,0.0700,0.1529,0.0002,0.0133,25,25,100.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band2,0.1340,0.1989,3.9199,0.0649,0.1568,0.0002,0.0145,25,25,100.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band2,0.1289,0.1991,3.8881,0.0702,0.1555,0.0002,0.0150,25,25,100.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band2,0.1304,0.2014,3.9197,0.0710,0.1568,0.0002,0.0152,25,25,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band2,0.1303,0.1964,3.8753,0.0661,0.1550,0.0002,0.0139,25,25,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band2,0.1309,0.1972,3.8914,0.0663,0.1557,0.0002,0.0140,25,25,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band2,0.1313,0.1917,3.8999,0.0604,0.1560,0.0002,0.0134,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band2,0.1318,0.1926,3.9134,0.0608,0.1565,0.0002,0.0135,25,25,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band2,0.1324,0.1934,3.9273,0.0610,0.1571,0.0002,0.0136,25,25,100.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band2,0.1330,0.1944,3.9420,0.0614,0.1577,0.0002,0.0137,25,25,100.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band2,0.1356,0.1937,3.9736,0.0581,0.1589,0.0002,0.0129,25,25,100.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band2,0.1360,0.1936,3.9857,0.0576,0.1594,0.0002,0.0129,25,25,100.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band2,0.1368,0.1947,4.0041,0.0579,0.1602,0.0002,0.0130,25,25,100.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band2,0.1361,0.1912,3.9756,0.0551,0.1590,0.0002,0.0125,25,25,100.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band2,0.1355,0.1943,4.0503,0.0588,0.1620,0.0002,0.0135,25,25,100.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band2,0.1349,0.1824,3.9126,0.0475,0.1565,0.0001,0.0107,25,25,100.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band2,0.1383,0.1880,3.9946,0.0497,0.1598,0.0001,0.0113,25,25,100.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band2,0.1378,0.1849,3.9510,0.0471,0.1580,0.0001,0.0107,25,25,100.00
