date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band2,,,,,,,,25,0,0.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band2,0.1444,0.2122,0.6751,0.0678,0.1688,0.0007,0.0268,25,4,16.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band2,0.1092,0.2125,2.5127,0.1033,0.1675,0.0006,0.0251,25,15,60.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band2,0.1118,0.2025,3.1146,0.0907,0.1639,0.0006,0.0235,25,19,76.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band2,0.1119,0.2028,3.1185,0.0909,0.1641,0.0006,0.0236,25,19,76.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band2,0.1121,0.2031,3.1224,0.0910,0.1643,0.0006,0.0236,25,19,76.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band2,0.1122,0.2033,3.1259,0.0911,0.1645,0.0006,0.0237,25,19,76.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band2,0.1155,0.2025,4.1931,0.0870,0.1677,0.0004,0.0210,25,25,100.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band2,0.1359,0.2065,4.3793,0.0706,0.1752,0.0004,0.0201,25,25,100.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band2,0.1222,0.2071,4.3595,0.0849,0.1744,0.0005,0.0220,25,25,100.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band2,0.1222,0.2197,4.4382,0.0975,0.1775,0.0006,0.0238,25,25,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band2,0.1208,0.2229,4.5306,0.1021,0.1812,0.0007,0.0258,25,25,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band2,0.1214,0.2238,4.5482,0.1024,0.1819,0.0007,0.0259,25,25,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band2,0.1219,0.2247,4.5658,0.1028,0.1826,0.0007,0.0260,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band2,0.1243,0.2268,4.6528,0.1025,0.1861,0.0008,0.0282,25,25,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band2,0.1247,0.2278,4.6719,0.1031,0.1869,0.0008,0.0283,25,25,100.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band2,0.1249,0.2287,4.6898,0.1038,0.1876,0.0008,0.0284,25,25,100.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band2,0.1258,0.2296,4.6992,0.1038,0.1880,0.0008,0.0284,25,25,100.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band2,0.1320,0.2307,4.7391,0.0987,0.1896,0.0008,0.0281,25,25,100.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band2,0.1254,0.2318,4.7158,0.1064,0.1886,0.0007,0.0271,25,25,100.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band2,0.1257,0.2325,4.7314,0.1068,0.1893,0.0007,0.0271,25,25,100.00
