date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band5,0.1279,0.1702,3.2716,0.0423,0.1487,0.0001,0.0106,25,22,88.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band5,0.1281,0.1703,3.2745,0.0422,0.1488,0.0001,0.0106,25,22,88.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band5,0.1282,0.1705,3.2772,0.0423,0.1490,0.0001,0.0106,25,22,88.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band5,0.1283,0.1708,3.2866,0.0425,0.1494,0.0001,0.0106,25,22,88.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band5,0.1271,0.1710,3.5237,0.0439,0.1468,0.0001,0.0107,25,24,96.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band5,0.1273,0.1715,3.5333,0.0442,0.1472,0.0001,0.0108,25,24,96.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band5,0.1270,0.1719,3.6709,0.0449,0.1468,0.0001,0.0113,25,25,100.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band5,0.1271,0.1721,3.6729,0.0450,0.1469,0.0001,0.0113,25,25,100.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band5,0.1271,0.1723,3.6745,0.0452,0.1470,0.0001,0.0113,25,25,100.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band5,0.1271,0.1725,3.6771,0.0454,0.1471,0.0001,0.0114,25,25,100.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band5,0.1270,0.1727,3.6787,0.0457,0.1471,0.0001,0.0114,25,25,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band5,0.1269,0.1745,3.7354,0.0476,0.1494,0.0001,0.0117,25,25,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band5,0.1272,0.1748,3.7393,0.0476,0.1496,0.0001,0.0118,25,25,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band5,0.1274,0.1785,3.7690,0.0511,0.1508,0.0002,0.0124,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band5,0.1276,0.1788,3.7747,0.0512,0.1510,0.0002,0.0124,25,25,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band5,0.1217,0.1697,2.1871,0.0480,0.1458,0.0001,0.0107,25,15,60.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band5,0.1219,0.1699,2.1897,0.0480,0.1460,0.0001,0.0107,25,15,60.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band5,0.1220,0.1758,3.1218,0.0538,0.1487,0.0001,0.0115,25,21,84.00
