MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band2,0.1371,0.1516,1.4558,0.0145,0.1456,0.0000,0.0039,19,10,52.63
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band2,0.1171,0.1425,2.1508,0.0254,0.1344,0.0000,0.0061,19,16,84.21
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band2,0.1172,0.1427,2.1538,0.0255,0.1346,0.0000,0.0061,19,16,84.21
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band2,0.1174,0.1429,2.1573,0.0255,0.1348,0.0000,0.0061,19,16,84.21
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band2,0.1251,0.1430,2.1796,0.0179,0.1362,0.0000,0.0040,19,16,84.21
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band2,0.1059,0.1380,2.3392,0.0321,0.1231,0.0001,0.0117,19,19,100.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band2,0.1086,0.1376,2.4243,0.0290,0.1276,0.0001,0.0088,19,19,100.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band2,0.1121,0.1366,2.4358,0.0245,0.1282,0.0000,0.0060,19,19,100.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band2,0.1122,0.1363,2.4341,0.0241,0.1281,0.0000,0.0059,19,19,100.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band2,0.1120,0.1364,2.4130,0.0244,0.1270,0.0000,0.0057,19,19,100.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band2,0.1123,0.1365,2.4160,0.0242,0.1272,0.0000,0.0057,19,19,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band2,0.1125,0.1366,2.4190,0.0241,0.1273,0.0000,0.0056,19,19,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band2,0.1127,0.1359,2.4092,0.0232,0.1268,0.0000,0.0054,19,19,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band2,0.1129,0.1299,2.3409,0.0170,0.1232,0.0000,0.0041,19,19,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band2,0.1152,0.1304,2.3597,0.0152,0.1242,0.0000,0.0038,19,19,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band2,0.1155,0.1308,2.3655,0.0153,0.1245,0.0000,0.0038,19,19,100.00
