date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band5,0.1267,0.1505,1.1131,0.0238,0.1391,0.0001,0.0081,25,8,32.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band5,0.0982,0.1826,2.5121,0.0844,0.1322,0.0007,0.0264,25,19,76.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band5,0.0983,0.1829,2.5155,0.0846,0.1324,0.0007,0.0265,25,19,76.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band5,0.0984,0.1831,2.5190,0.0847,0.1326,0.0007,0.0265,25,19,76.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band5,0.1042,0.1834,2.5756,0.0792,0.1356,0.0006,0.0241,25,19,76.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band5,0.0993,0.2106,2.6962,0.1113,0.1284,0.0008,0.0287,25,21,84.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band5,0.1021,0.2108,2.9526,0.1087,0.1342,0.0007,0.0268,25,22,88.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band5,0.0982,0.1903,3.2821,0.0921,0.1313,0.0005,0.0215,25,25,100.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band5,0.0983,0.1900,3.2800,0.0917,0.1312,0.0005,0.0214,25,25,100.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band5,0.1161,0.1906,3.4340,0.0745,0.1374,0.0003,0.0179,25,25,100.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band5,0.1162,0.1913,3.4426,0.0751,0.1377,0.0003,0.0180,25,25,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band5,0.1164,0.1920,3.4508,0.0756,0.1380,0.0003,0.0181,25,25,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band5,0.1165,0.1927,3.4712,0.0762,0.1388,0.0003,0.0180,25,25,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band5,0.1081,0.1842,3.3587,0.0761,0.1343,0.0003,0.0181,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band5,0.1061,0.1840,3.3321,0.0779,0.1333,0.0004,0.0194,25,25,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band5,0.1063,0.1841,3.3402,0.0778,0.1336,0.0004,0.0194,25,25,100.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band5,0.1133,0.1842,3.4872,0.0709,0.1395,0.0004,0.0196,25,25,100.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band5,0.1171,0.1990,3.6181,0.0819,0.1447,0.0005,0.0219,25,25,100.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band5,0.1171,0.1990,3.6245,0.0819,0.1450,0.0005,0.0219,25,25,100.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band5,0.1171,0.1664,2.7348,0.0493,0.1367,0.0002,0.0135,25,20,80.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band5,0.1147,0.1674,2.7344,0.0527,0.1367,0.0002,0.0142,25,20,80.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band5,0.1105,0.1956,3.6442,0.0851,0.1458,0.0005,0.0223,25,25,100.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band5,0.1107,0.2002,3.7205,0.0895,0.1488,0.0005,0.0216,25,25,100.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band5,0.1244,0.2076,3.7796,0.0832,0.1512,0.0004,0.0212,25,25,100.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band5,0.1289,0.2043,3.8571,0.0754,0.1543,0.0004,0.0202,25,25,100.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band5,0.1302,0.2047,3.9008,0.0745,0.1560,0.0004,0.0192,25,25,100.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band5,0.1325,0.2011,3.8340,0.0686,0.1534,0.0003,0.0186,25,25,100.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band5,0.1284,0.2253,3.9018,0.0969,0.1561,0.0005,0.0230,25,25,100.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band5,0.1289,0.2267,3.9125,0.0978,0.1565,0.0005,0.0232,25,25,100.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band5,0.1295,0.2280,3.9232,0.0985,0.1569,0.0005,0.0233,25,25,100.00
A2000085,2000-03-25,MCD43A4,Nadir_Reflectance_Band5,0.1324,0.2300,3.9671,0.0976,0.1587,0.0005,0.0232,25,25,100.00
A2000086,2000-03-26,MCD43A4,Nadir_Reflectance_Band5,0.1330,0.2314,3.9863,0.0984,0.1595,0.0005,0.0230,25,25,100.00
A2000087,2000-03-27,MCD43A4,Nadir_Reflectance_Band5,0.1319,0.2413,4.0057,0.1094,0.1602,0.0007,0.0267,25,25,100.00
A2000088,2000-03-28,MCD43A4,Nadir_Reflectance_Band5,0.1326,0.2424,4.0219,0.1098,0.1609,0.0007,0.0269,25,25,100.00
A2000089,2000-03-29,MCD43A4,Nadir_Reflectance_Band5,0.1332,0.2450,4.0586,0.1118,0.1623,0.0008,0.0286,25,25,100.00
A2000090,2000-03-30,MCD43A4,Nadir_Reflectance_Band5,0.1374,0.2474,4.1157,0.1100,0.1646,0.0008,0.0289,25,25,100.00
A2000091,2000-03-31,MCD43A4,Nadir_Reflectance_Band5,0.1362,0.2495,4.1143,0.1133,0.1646,0.0009,0.0292,25,25,100.00
A2000092,2000-04-01,MCD43A4,Nadir_Reflectance_Band5,0.1368,0.2506,4.1297,0.1138,0.1652,0.0009,0.0294,25,25,100.00
A2000093,2000-04-02,MCD43A4,Nadir_Reflectance_Band5,0.1373,0.2516,4.1635,0.1143,0.1665,0.0009,0.0295,25,25,100.00
A2000094,2000-04-03,MCD43A4,Nadir_Reflectance_Band5,0.1395,0.2470,4.2200,0.1075,0.1688,0.0009,0.0293,25,25,100.00
A2000095,2000-04-04,MCD43A4,Nadir_Reflectance_Band5,0.1410,0.2465,4.2366,0.1055,0.1695,0.0009,0.0293,25,25,100.00
A2000096,2000-04-05,MCD43A4,Nadir_Reflectance_Band5,0.1415,0.2473,4.2497,0.1058,0.1700,0.0009,0.0295,25,25,100.00
A2000097,2000-04-06,MCD43A4,Nadir_Reflectance_Band5,0.1440,0.2489,4.2963,0.1049,0.1719,0.0009,0.0294,25,25,100.00
A2000098,2000-04-07,MCD43A4,Nadir_Reflectance_Band5,0.1450,0.2481,4.3246,0.1031,0.1730,0.0009,0.0296,25,25,100.00
A2000099,2000-04-08,MCD43A4,Nadir_Reflectance_Band5,0.1452,0.2491,4.3339,0.1039,0.1734,0.0009,0.0298,25,25,100.00
A2000100,2000-04-09,MCD43A4,Nadir_Reflectance_Band5,0.1440,0.2475,4.3147,0.1035,0.1726,0.0009,0.0293,25,25,100.00
A2000101,2000-04-10,MCD43A4,Nadir_Reflectance_Band5,0.1437,0.2450,4.2480,0.1013,0.1699,0.0008,0.0291,25,25,100.00
A2000102,2000-04-11,MCD43A4,Nadir_Reflectance_Band5,0.1435,0.2461,4.2589,0.1026,0.1704,0.0008,0.0290,25,25,100.00
A2000103,2000-04-12,MCD43A4,Nadir_Reflectance_Band5,0.1436,0.2468,4.2660,0.1032,0.1706,0.0008,0.0291,25,25,100.00
A2000104,2000-04-13,MCD43A4,Nadir_Reflectance_Band5,0.1437,0.2475,4.2739,0.1038,0.1710,0.0009,0.0292,25,25,100.00
A2000105,2000-04-14,MCD43A4,Nadir_Reflectance_Band5,0.1458,0.2460,4.3099,0.1002,0.1724,0.0008,0.0278,25,25,100.00
A2000106,2000-04-15,MCD43A4,Nadir_Reflectance_Band5,0.1407,0.2446,4.2063,0.1039,0.1683,0.0008,0.0286,25,25,100.00
A2000107,2000-04-16,MCD43A4,Nadir_Reflectance_Band5,0.1440,0.2490,4.2745,0.1050,0.1710,0.0008,0.0287,25,25,100.00
A2000108,2000-04-17,MCD43A4,Nadir_Reflectance_Band5,0.1444,0.2499,4.2850,0.1055,0.1714,0.0008,0.0288,25,25,100.00
A2000109,2000-04-18,MCD43A4,Nadir_Reflectance_Band5,0.1447,0.2508,4.2971,0.1061,0.1719,0.0008,0.0290,25,25,100.00
A2000110,2000-04-19,MCD43A4,Nadir_Reflectance_Band5,0.1458,0.2502,4.3306,0.1044,0.1732,0.0009,0.0292,25,25,100.00
A2000111,2000-04-20,MCD43A4,Nadir_Reflectance_Band5,0.1461,0.2512,4.3422,0.1051,0.1737,0.0009,0.0294,25,25,100.00
A2000112,2000-04-21,MCD43A4,Nadir_Reflectance_Band5,0.1464,0.2522,4.3533,0.1058,0.1741,0.0009,0.0295,25,25,100.00
A2000113,2000-04-22,MCD43A4,Nadir_Reflectance_Band5,0.1467,0.2530,4.3602,0.1063,0.1744,0.0009,0.0297,25,25,100.00
A2000114,2000-04-23,MCD43A4,Nadir_Reflectance_Band5,0.1470,0.2547,4.3932,0.1077,0.1757,0.0008,0.0291,25,25,100.00
A2000115,2000-04-24,MCD43A4,Nadir_Reflectance_Band5,0.1470,0.2516,4.3836,0.1046,0.1753,0.0008,0.0283,25,25,100.00
A2000116,2000-04-25,MCD43A4,Nadir_Reflectance_Band5,0.1477,0.2530,4.4026,0.1053,0.1761,0.0008,0.0287,25,25,100.00
A2000117,2000-04-26,MCD43A4,Nadir_Reflectance_Band5,0.1483,0.2585,4.4269,0.1102,0.1771,0.0008,0.0291,25,25,100.00
A2000118,2000-04-27,MCD43A4,Nadir_Reflectance_Band5,0.1485,0.2591,4.4341,0.1106,0.1774,0.0008,0.0291,25,25,100.00
A2000119,2000-04-28,MCD43A4,Nadir_Reflectance_Band5,0.1488,0.2598,4.4419,0.1110,0.1777,0.0009,0.0292,25,25,100.00
A2000120,2000-04-29,MCD43A4,Nadir_Reflectance_Band5,0.1483,0.2605,4.4273,0.1122,0.1771,0.0009,0.0295,25,25,100.00
A2000121,2000-04-30,MCD43A4,Nadir_Reflectance_Band5,0.1520,0.2576,4.4710,0.1056,0.1788,0.0008,0.0279,25,25,100.00
A2000122,2000-05-01,MCD43A4,Nadir_Reflectance_Band5,0.1553,0.2599,4.5520,0.1046,0.1821,0.0007,0.0271,25,25,100.00
A2000123,2000-05-02,MCD43A4,Nadir_Reflectance_Band5,0.1536,0.2600,4.5156,0.1064,0.1806,0.0007,0.0270,25,25,100.00
A2000124,2000-05-03,MCD43A4,Nadir_Reflectance_Band5,0.1531,0.2598,4.5094,0.1067,0.1804,0.0008,0.0275,25,25,100.00
A2000125,2000-05-04,MCD43A4,Nadir_Reflectance_Band5,0.1535,0.2607,4.5192,0.1072,0.1808,0.0008,0.0276,25,25,100.00
A2000126,2000-05-05,MCD43A4,Nadir_Reflectance_Band5,0.1538,0.2638,4.5480,0.1100,0.1819,0.0008,0.0280,25,25,100.00
A2000127,2000-05-06,MCD43A4,Nadir_Reflectance_Band5,0.1542,0.2647,4.5574,0.1105,0.1823,0.0008,0.0281,25,25,100.00
A2000128,2000-05-07,MCD43A4,Nadir_Reflectance_Band5,0.1588,0.2654,4.6549,0.1066,0.1862,0.0008,0.0275,25,25,100.00
A2000129,2000-05-08,MCD43A4,Nadir_Reflectance_Band5,0.1592,0.2659,4.6644,0.1067,0.1866,0.0008,0.0276,25,25,100.00
A2000130,2000-05-09,MCD43A4,Nadir_Reflectance_Band5,0.1648,0.2703,4.7660,0.1055,0.1906,0.0008,0.0280,25,25,100.00
A2000131,2000-05-10,MCD43A4,Nadir_Reflectance_Band5,0.1658,0.2739,4.8754,0.1081,0.1950,0.0007,0.0274,25,25,100.00
A2000132,2000-05-11,MCD43A4,Nadir_Reflectance_Band5,0.1662,0.2709,4.9306,0.1047,0.1972,0.0007,0.0263,25,25,100.00
A2000133,2000-05-12,MCD43A4,Nadir_Reflectance_Band5,0.1683,0.2711,5.0108,0.1028,0.2004,0.0007,0.0257,25,25,100.00
A2000134,2000-05-13,MCD43A4,Nadir_Reflectance_Band5,0.1744,0.2735,5.0928,0.0991,0.2037,0.0006,0.0251,25,25,100.00
A2000135,2000-05-14,MCD43A4,Nadir_Reflectance_Band5,0.1787,0.2813,5.2126,0.1026,0.2085,0.0006,0.0253,25,25,100.00
A2000136,2000-05-15,MCD43A4,Nadir_Reflectance_Band5,0.1805,0.2822,5.1787,0.1017,0.2071,0.0006,0.0255,25,25,100.00
A2000137,2000-05-16,MCD43A4,Nadir_Reflectance_Band5,0.1824,0.2871,5.3149,0.1047,0.2126,0.0007,0.0274,25,25,100.00
A2000138,2000-05-17,MCD43A4,Nadir_Reflectance_Band5,0.1816,0.2873,5.2921,0.1057,0.2117,0.0008,0.0276,25,25,100.00
