date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band7,,,,,,,,25,0,0.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band7,,,,,,,,25,0,0.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band7,0.2403,0.2460,1.4616,0.0057,0.2436,0.0000,0.0019,25,6,24.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band7,0.1243,0.2468,3.4683,0.1225,0.1734,0.0023,0.0474,25,20,80.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band7,0.0584,0.2448,2.9893,0.1864,0.1246,0.0028,0.0534,25,24,96.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band7,0.0585,0.1706,2.5644,0.1121,0.1068,0.0011,0.0329,25,24,96.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band7,0.0704,0.1988,2.9490,0.1284,0.1180,0.0009,0.0301,25,25,100.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band7,0.0706,0.1994,2.8537,0.1288,0.1141,0.0007,0.0272,25,25,100.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band7,0.0742,0.1708,2.6205,0.0966,0.1048,0.0004,0.0195,25,25,100.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band7,0.0743,0.1660,2.5969,0.0917,0.1039,0.0003,0.0179,25,25,100.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band7,0.0770,0.1277,2.5149,0.0507,0.1006,0.0001,0.0102,25,25,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band7,0.0773,0.1422,2.8133,0.0649,0.1125,0.0002,0.0146,25,25,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band7,0.0777,0.1415,2.7902,0.0638,0.1116,0.0002,0.0141,25,25,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band7,0.0780,0.1409,2.7903,0.0629,0.1116,0.0002,0.0139,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band7,0.0784,0.1400,2.6979,0.0616,0.1079,0.0002,0.0135,25,25,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band7,0.0788,0.1391,2.6912,0.0603,0.1076,0.0002,0.0132,25,25,100.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band7,0.0791,0.1388,2.6905,0.0597,0.1076,0.0002,0.0131,25,25,100.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band7,0.0794,0.1387,2.6914,0.0593,0.1077,0.0002,0.0130,25,25,100.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band7,0.0736,0.1274,2.5317,0.0538,0.1013,0.0001,0.0116,25,25,100.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band7,0.0763,0.1278,2.5591,0.0515,0.1024,0.0001,0.0109,25,25,100.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band7,0.0791,0.1250,2.5904,0.0459,0.1036,0.0001,0.0112,25,25,100.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band7,0.0791,0.1168,2.0234,0.0377,0.1012,0.0001,0.0119,25,20,80.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band7,0.0759,0.1030,1.5312,0.0271,0.0901,0.0001,0.0077,25,17,68.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band7,0.0771,0.1249,1.9708,0.0478,0.0985,0.0002,0.0144,25,20,80.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band7,0.0809,0.1299,2.1481,0.0490,0.1023,0.0002,0.0143,25,21,84.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band7,0.0810,0.1294,2.1572,0.0484,0.1027,0.0002,0.0139,25,21,84.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band7,0.0835,0.1438,2.3294,0.0603,0.1059,0.0003,0.0169,25,22,88.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band7,0.0804,0.1400,2.5312,0.0596,0.1101,0.0002,0.0144,25,23,92.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band7,0.0792,0.1422,2.7902,0.0630,0.1116,0.0003,0.0170,25,25,100.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band7,0.0937,0.1497,3.1682,0.0560,0.1267,0.0002,0.0141,25,25,100.00
A2000085,2000-03-25,MCD43A4,Nadir_Reflectance_Band7,0.0924,0.1551,3.1172,0.0627,0.1247,0.0002,0.0152,25,25,100.00
A2000086,2000-03-26,MCD43A4,Nadir_Reflectance_Band7,0.0932,0.1554,3.1382,0.0622,0.1255,0.0002,0.0152,25,25,100.00
A2000087,2000-03-27,MCD43A4,Nadir_Reflectance_Band7,0.0939,0.1566,3.1634,0.0627,0.1265,0.0002,0.0154,25,25,100.00
A2000088,2000-03-28,MCD43A4,Nadir_Reflectance_Band7,0.0945,0.1579,3.1881,0.0634,0.1275,0.0002,0.0156,25,25,100.00
A2000089,2000-03-29,MCD43A4,Nadir_Reflectance_Band7,0.1075,0.1687,3.2840,0.0612,0.1314,0.0002,0.0149,25,25,100.00
A2000090,2000-03-30,MCD43A4,Nadir_Reflectance_Band7,0.1091,0.1726,3.2598,0.0635,0.1304,0.0002,0.0146,25,25,100.00
A2000091,2000-03-31,MCD43A4,Nadir_Reflectance_Band7,0.1123,0.1746,3.5304,0.0623,0.1412,0.0002,0.0151,25,25,100.00
A2000092,2000-04-01,MCD43A4,Nadir_Reflectance_Band7,0.1117,0.1806,3.5365,0.0689,0.1415,0.0002,0.0157,25,25,100.00
A2000093,2000-04-02,MCD43A4,Nadir_Reflectance_Band7,0.1252,0.1809,3.6477,0.0557,0.1459,0.0002,0.0142,25,25,100.00
A2000094,2000-04-03,MCD43A4,Nadir_Reflectance_Band7,0.1355,0.1792,3.8093,0.0437,0.1524,0.0001,0.0117,25,25,100.00
A2000095,2000-04-04,MCD43A4,Nadir_Reflectance_Band7,0.1383,0.2037,3.9262,0.0654,0.1570,0.0002,0.0152,25,25,100.00
A2000096,2000-04-05,MCD43A4,Nadir_Reflectance_Band7,0.1385,0.2056,3.9382,0.0671,0.1575,0.0002,0.0154,25,25,100.00
A2000097,2000-04-06,MCD43A4,Nadir_Reflectance_Band7,0.1377,0.1844,3.8374,0.0467,0.1535,0.0001,0.0122,25,25,100.00
A2000098,2000-04-07,MCD43A4,Nadir_Reflectance_Band7,0.1333,0.1873,3.7568,0.0540,0.1503,0.0002,0.0128,25,25,100.00
