MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band6,0.0390,0.0390,0.0390,0.0000,0.0390,0.0000,0.0000,15,1,6.67
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band6,0.0390,0.0390,0.0390,0.0000,0.0390,0.0000,0.0000,15,1,6.67
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band6,0.0392,0.0392,0.0392,0.0000,0.0392,0.0000,0.0000,15,1,6.67
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band6,0.0392,0.0392,0.0392,0.0000,0.0392,0.0000,0.0000,15,1,6.67
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band6,,,,,,,,15,0,0.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band6,,,,,,,,15,0,0.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band6,0.1191,0.1191,0.1191,0.0000,0.1191,0.0000,0.0000,15,1,6.67
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band6,0.1189,0.1189,0.1189,0.0000,0.1189,0.0000,0.0000,15,1,6.67
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band6,0.1188,0.1188,0.1188,0.0000,0.1188,0.0000,0.0000,15,1,6.67
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band6,0.1186,0.1186,0.1186,0.0000,0.1186,0.0000,0.0000,15,1,6.67
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band6,0.1184,0.1184,0.1184,0.0000,0.1184,0.0000,0.0000,15,1,6.67
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band6,0.1182,0.1182,0.1182,0.0000,0.1182,0.0000,0.0000,15,1,6.67
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band6,0.1180,0.1180,0.1180,0.0000,0.1180,0.0000,0.0000,15,1,6.67
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band6,0.0618,0.1177,0.4534,0.0559,0.0756,0.0004,0.0195,15,6,40.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band6,0.0655,0.1077,0.4766,0.0422,0.0794,0.0002,0.0132,15,6,40.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band6,0.0656,0.1080,0.4772,0.0424,0.0795,0.0002,0.0133,15,6,40.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band6,0.0657,0.1278,1.1800,0.0621,0.0983,0.0003,0.0166,15,12,80.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band6,0.0607,0.1200,1.1478,0.0593,0.0956,0.0003,0.0173,15,12,80.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band6,0.0608,0.1202,1.1495,0.0594,0.0958,0.0003,0.0173,15,12,80.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band6,0.0687,0.1246,1.4300,0.0559,0.0953,0.0003,0.0165,15,15,100.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band6,0.0687,0.1248,1.4319,0.0561,0.0955,0.0003,0.0165,15,15,100.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band6,0.0690,0.1249,1.4346,0.0559,0.0956,0.0003,0.0165,15,15,100.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band6,0.0692,0.1249,1.4387,0.0557,0.0959,0.0003,0.0166,15,15,100.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band6,0.0693,0.1248,1.4445,0.0555,0.0963,0.0003,0.0171,15,15,100.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band6,0.0674,0.1203,1.3830,0.0529,0.0922,0.0003,0.0180,15,15,100.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band6,0.0675,0.1236,1.3914,0.0561,0.0928,0.0003,0.0187,15,15,100.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band6,0.0672,0.1339,1.3641,0.0667,0.0909,0.0003,0.0185,15,15,100.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band6,0.0672,0.1359,1.3943,0.0687,0.0930,0.0004,0.0195,15,15,100.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band6,0.0706,0.1349,1.4347,0.0643,0.0956,0.0004,0.0194,15,15,100.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band6,0.0714,0.1361,1.4376,0.0647,0.0958,0.0004,0.0196,15,15,100.00
A2000085,2000-03-25,MCD43A4,Nadir_Reflectance_Band6,0.0711,0.1372,1.4521,0.0661,0.0968,0.0004,0.0202,15,15,100.00
