date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band7,0.0530,0.0600,0.1130,0.0070,0.0565,0.0000,0.0035,25,2,8.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band7,0.0531,0.0601,0.1132,0.0070,0.0566,0.0000,0.0035,25,2,8.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band7,0.0548,0.1738,0.6831,0.1190,0.1138,0.0022,0.0469,25,6,24.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band7,0.0547,0.1757,1.2816,0.1210,0.1282,0.0017,0.0406,25,10,40.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band7,0.1107,0.1775,1.1710,0.0668,0.1464,0.0006,0.0235,25,8,32.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band7,0.1109,0.1793,1.1764,0.0684,0.1470,0.0006,0.0241,25,8,32.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band7,0.1110,0.2282,1.3976,0.1172,0.1553,0.0012,0.0344,25,9,36.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band7,0.1113,0.2295,1.4019,0.1182,0.1558,0.0012,0.0346,25,9,36.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band7,0.1115,0.2308,1.4062,0.1193,0.1562,0.0012,0.0349,25,9,36.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band7,0.1118,0.2322,1.4107,0.1204,0.1567,0.0012,0.0352,25,9,36.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band7,0.1120,0.2336,1.4148,0.1216,0.1572,0.0013,0.0355,25,9,36.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band7,0.1462,0.2351,1.1818,0.0889,0.1688,0.0009,0.0293,25,7,28.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band7,0.1465,0.2365,1.1859,0.0900,0.1694,0.0009,0.0297,25,7,28.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band7,0.1469,0.2380,1.9430,0.0911,0.1619,0.0006,0.0249,25,12,48.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band7,0.1585,0.1878,1.3418,0.0293,0.1677,0.0001,0.0113,25,8,32.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band7,0.1592,0.1595,0.3187,0.0003,0.1594,0.0000,0.0002,25,2,8.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band7,0.0463,0.1733,2.0471,0.1270,0.1365,0.0021,0.0455,25,15,60.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band7,0.0338,0.1727,2.1456,0.1389,0.0933,0.0025,0.0495,25,23,92.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band7,0.0339,0.1732,2.1508,0.1393,0.0935,0.0025,0.0497,25,23,92.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band7,0.0340,0.2459,3.5500,0.2119,0.1479,0.0047,0.0689,25,24,96.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band7,0.0341,0.2458,3.5558,0.2117,0.1482,0.0048,0.0690,25,24,96.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band7,0.0342,0.2457,3.5632,0.2115,0.1485,0.0048,0.0691,25,24,96.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band7,0.0343,0.2287,3.3172,0.1944,0.1442,0.0045,0.0674,25,23,92.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band7,0.0344,0.2405,3.7303,0.2061,0.1622,0.0043,0.0656,25,23,92.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band7,0.0334,0.2408,3.2227,0.2074,0.1289,0.0030,0.0547,25,25,100.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band7,0.0334,0.2416,3.2433,0.2082,0.1297,0.0030,0.0545,25,25,100.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band7,0.0325,0.2097,2.7384,0.1772,0.1095,0.0024,0.0486,25,25,100.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band7,0.0669,0.2027,3.1151,0.1358,0.1246,0.0015,0.0382,25,25,100.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band7,0.0976,0.1995,3.8251,0.1019,0.1530,0.0011,0.0328,25,25,100.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band7,0.1052,0.2007,3.8709,0.0955,0.1548,0.0011,0.0324,25,25,100.00
A2000085,2000-03-25,MCD43A4,Nadir_Reflectance_Band7,0.0977,0.1922,3.4394,0.0945,0.1376,0.0009,0.0297,25,25,100.00
A2000086,2000-03-26,MCD43A4,Nadir_Reflectance_Band7,0.0986,0.1945,3.4705,0.0959,0.1388,0.0009,0.0303,25,25,100.00
A2000087,2000-03-27,MCD43A4,Nadir_Reflectance_Band7,0.1068,0.1913,3.6314,0.0845,0.1453,0.0009,0.0294,25,25,100.00
A2000088,2000-03-28,MCD43A4,Nadir_Reflectance_Band7,0.1138,0.2141,4.3942,0.1003,0.1758,0.0006,0.0240,25,25,100.00
A2000089,2000-03-29,MCD43A4,Nadir_Reflectance_Band7,0.1149,0.2145,4.4296,0.0996,0.1772,0.0006,0.0241,25,25,100.00
A2000090,2000-03-30,MCD43A4,Nadir_Reflectance_Band7,0.0848,0.2098,3.4379,0.1250,0.1375,0.0021,0.0460,25,25,100.00
A2000091,2000-03-31,MCD43A4,Nadir_Reflectance_Band7,0.0848,0.2105,3.4593,0.1257,0.1384,0.0022,0.0468,25,25,100.00
A2000092,2000-04-01,MCD43A4,Nadir_Reflectance_Band7,0.0848,0.2111,3.4855,0.1263,0.1394,0.0023,0.0477,25,25,100.00
A2000093,2000-04-02,MCD43A4,Nadir_Reflectance_Band7,0.0848,0.2118,3.5072,0.1270,0.1403,0.0023,0.0484,25,25,100.00
A2000094,2000-04-03,MCD43A4,Nadir_Reflectance_Band7,0.0848,0.2108,3.3259,0.1260,0.1330,0.0019,0.0434,25,25,100.00
A2000095,2000-04-04,MCD43A4,Nadir_Reflectance_Band7,0.1161,0.2408,4.8844,0.1247,0.1954,0.0006,0.0251,25,25,100.00
A2000096,2000-04-05,MCD43A4,Nadir_Reflectance_Band7,0.1772,0.2459,4.9243,0.0687,0.1970,0.0005,0.0223,25,25,100.00
A2000097,2000-04-06,MCD43A4,Nadir_Reflectance_Band7,0.1781,0.2500,5.0005,0.0719,0.2000,0.0006,0.0242,25,25,100.00
A2000098,2000-04-07,MCD43A4,Nadir_Reflectance_Band7,0.1915,0.2561,4.9268,0.0646,0.2142,0.0006,0.0235,25,23,92.00
A2000099,2000-04-08,MCD43A4,Nadir_Reflectance_Band7,0.1188,0.3215,4.2941,0.2027,0.1867,0.0028,0.0524,25,23,92.00
A2000100,2000-04-09,MCD43A4,Nadir_Reflectance_Band7,0.0782,0.3255,4.1295,0.2473,0.1721,0.0024,0.0494,25,24,96.00
A2000101,2000-04-10,MCD43A4,Nadir_Reflectance_Band7,0.0783,0.3297,4.1536,0.2514,0.1731,0.0025,0.0500,25,24,96.00
A2000102,2000-04-11,MCD43A4,Nadir_Reflectance_Band7,0.1281,0.7960,5.1293,0.6679,0.2137,0.0166,0.1287,25,24,96.00
A2000103,2000-04-12,MCD43A4,Nadir_Reflectance_Band7,0.1285,0.8129,5.1466,0.6844,0.2144,0.0174,0.1319,25,24,96.00
A2000104,2000-04-13,MCD43A4,Nadir_Reflectance_Band7,0.1276,0.8301,5.1747,0.7025,0.2156,0.0184,0.1355,25,24,96.00
A2000105,2000-04-14,MCD43A4,Nadir_Reflectance_Band7,0.1267,0.8475,5.2028,0.7208,0.2168,0.0193,0.1390,25,24,96.00
A2000106,2000-04-15,MCD43A4,Nadir_Reflectance_Band7,0.1258,0.8653,5.2489,0.7395,0.2187,0.0203,0.1426,25,24,96.00
A2000107,2000-04-16,MCD43A4,Nadir_Reflectance_Band7,0.1260,0.8833,5.2964,0.7573,0.2207,0.0213,0.1460,25,24,96.00
A2000108,2000-04-17,MCD43A4,Nadir_Reflectance_Band7,0.1263,0.9017,5.3408,0.7754,0.2225,0.0224,0.1495,25,24,96.00
A2000109,2000-04-18,MCD43A4,Nadir_Reflectance_Band7,0.1266,0.9204,5.3903,0.7938,0.2246,0.0234,0.1530,25,24,96.00
A2000110,2000-04-19,MCD43A4,Nadir_Reflectance_Band7,0.1268,0.9286,5.4184,0.8018,0.2258,0.0239,0.1546,25,24,96.00
A2000111,2000-04-20,MCD43A4,Nadir_Reflectance_Band7,0.0629,0.2312,3.3414,0.1683,0.1392,0.0020,0.0443,25,24,96.00
A2000112,2000-04-21,MCD43A4,Nadir_Reflectance_Band7,0.0635,0.2324,1.7235,0.1689,0.1231,0.0018,0.0429,25,14,56.00
A2000113,2000-04-22,MCD43A4,Nadir_Reflectance_Band7,0.0641,0.2336,1.7309,0.1695,0.1236,0.0019,0.0430,25,14,56.00
A2000114,2000-04-23,MCD43A4,Nadir_Reflectance_Band7,0.0647,0.2338,1.7372,0.1691,0.1241,0.0019,0.0430,25,14,56.00
A2000115,2000-04-24,MCD43A4,Nadir_Reflectance_Band7,0.1743,0.2508,2.8189,0.0765,0.2168,0.0006,0.0246,25,13,52.00
A2000116,2000-04-25,MCD43A4,Nadir_Reflectance_Band7,0.2155,0.2506,1.8742,0.0351,0.2343,0.0001,0.0104,25,8,32.00
A2000117,2000-04-26,MCD43A4,Nadir_Reflectance_Band7,0.1428,0.2383,4.0988,0.0955,0.1863,0.0013,0.0357,25,22,88.00
A2000118,2000-04-27,MCD43A4,Nadir_Reflectance_Band7,0.0609,0.2145,2.2752,0.1536,0.0948,0.0011,0.0334,25,24,96.00
A2000119,2000-04-28,MCD43A4,Nadir_Reflectance_Band7,0.0640,0.2140,2.9393,0.1500,0.1176,0.0013,0.0367,25,25,100.00
A2000120,2000-04-29,MCD43A4,Nadir_Reflectance_Band7,0.0641,0.2135,2.9485,0.1494,0.1179,0.0014,0.0369,25,25,100.00
A2000121,2000-04-30,MCD43A4,Nadir_Reflectance_Band7,0.0642,0.2129,2.9579,0.1487,0.1183,0.0014,0.0370,25,25,100.00
A2000122,2000-05-01,MCD43A4,Nadir_Reflectance_Band7,0.0643,0.1882,2.8918,0.1239,0.1157,0.0010,0.0322,25,25,100.00
A2000123,2000-05-02,MCD43A4,Nadir_Reflectance_Band7,0.0644,0.1889,2.8997,0.1245,0.1160,0.0010,0.0324,25,25,100.00
A2000124,2000-05-03,MCD43A4,Nadir_Reflectance_Band7,0.0644,0.1895,2.9073,0.1251,0.1163,0.0011,0.0325,25,25,100.00
A2000125,2000-05-04,MCD43A4,Nadir_Reflectance_Band7,0.0646,0.1913,2.9338,0.1267,0.1174,0.0011,0.0332,25,25,100.00
A2000126,2000-05-05,MCD43A4,Nadir_Reflectance_Band7,0.0641,0.1590,2.6767,0.0949,0.1071,0.0007,0.0272,25,25,100.00
A2000127,2000-05-06,MCD43A4,Nadir_Reflectance_Band7,0.0903,0.1761,3.1568,0.0858,0.1263,0.0006,0.0247,25,25,100.00
A2000128,2000-05-07,MCD43A4,Nadir_Reflectance_Band7,0.0900,0.1771,3.1699,0.0871,0.1268,0.0006,0.0250,25,25,100.00
A2000129,2000-05-08,MCD43A4,Nadir_Reflectance_Band7,0.0897,0.1780,3.1829,0.0883,0.1273,0.0006,0.0253,25,25,100.00
A2000130,2000-05-09,MCD43A4,Nadir_Reflectance_Band7,0.0894,0.1790,3.1808,0.0896,0.1272,0.0007,0.0257,25,25,100.00
A2000131,2000-05-10,MCD43A4,Nadir_Reflectance_Band7,0.0693,0.1773,2.9509,0.1080,0.1180,0.0010,0.0317,25,25,100.00
A2000132,2000-05-11,MCD43A4,Nadir_Reflectance_Band7,0.0696,0.1782,2.9547,0.1086,0.1182,0.0010,0.0321,25,25,100.00
