date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band6,0.1262,0.2675,4.2525,0.1413,0.1772,0.0026,0.0505,25,24,96.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band6,0.1264,0.2674,4.2557,0.1410,0.1773,0.0025,0.0505,25,24,96.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band6,0.1266,0.2674,4.2588,0.1408,0.1775,0.0025,0.0504,25,24,96.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band6,0.1271,0.2680,4.2696,0.1409,0.1779,0.0025,0.0505,25,24,96.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band6,0.1272,0.2780,4.6031,0.1508,0.1841,0.0029,0.0536,25,25,100.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band6,0.1275,0.2783,4.6770,0.1508,0.1871,0.0027,0.0518,25,25,100.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band6,0.1271,0.2852,4.7883,0.1581,0.1915,0.0030,0.0548,25,25,100.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band6,0.1272,0.2856,4.8030,0.1584,0.1921,0.0030,0.0547,25,25,100.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band6,0.1274,0.2860,4.8175,0.1586,0.1927,0.0030,0.0545,25,25,100.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band6,0.1276,0.2863,4.8325,0.1587,0.1933,0.0030,0.0544,25,25,100.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band6,0.1277,0.2867,4.8472,0.1590,0.1939,0.0030,0.0543,25,25,100.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band6,0.1381,0.2963,4.9756,0.1582,0.1990,0.0031,0.0553,25,25,100.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band6,0.1409,0.2966,5.0025,0.1557,0.2001,0.0030,0.0548,25,25,100.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band6,0.1294,0.3062,5.1092,0.1768,0.2044,0.0033,0.0572,25,25,100.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band6,0.1351,0.2907,4.9482,0.1556,0.1979,0.0026,0.0509,25,25,100.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band6,0.1279,0.2835,4.9045,0.1556,0.1962,0.0025,0.0496,25,25,100.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band6,0.1278,0.2827,4.8907,0.1549,0.1956,0.0023,0.0480,25,25,100.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band6,0.1358,0.2819,4.9218,0.1461,0.1969,0.0022,0.0467,25,25,100.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band6,0.1427,0.2811,4.9196,0.1384,0.1968,0.0021,0.0454,25,25,100.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band6,0.1428,0.2802,4.9192,0.1374,0.1968,0.0020,0.0451,25,25,100.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band6,0.1345,0.2750,4.9046,0.1405,0.1962,0.0019,0.0439,25,25,100.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band6,0.1347,0.2738,4.8617,0.1391,0.1945,0.0020,0.0447,25,25,100.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band6,0.1360,0.2656,4.7982,0.1296,0.1919,0.0017,0.0414,25,25,100.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band6,0.1368,0.2665,4.8130,0.1297,0.1925,0.0017,0.0416,25,25,100.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band6,0.1425,0.2674,4.8453,0.1249,0.1938,0.0018,0.0424,25,25,100.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band6,0.1428,0.2683,4.8570,0.1255,0.1943,0.0018,0.0425,25,25,100.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band6,0.1445,0.2693,4.8588,0.1248,0.1944,0.0019,0.0440,25,25,100.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band6,0.1369,0.2756,4.8973,0.1387,0.1959,0.0021,0.0461,25,25,100.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band6,0.1369,0.2763,4.9077,0.1394,0.1963,0.0021,0.0463,25,25,100.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band6,0.1383,0.2823,4.9885,0.1440,0.1995,0.0023,0.0483,25,25,100.00
