Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,293,109,170,275,132,208,236
2002, Cycle 1,279,122,165,235,141,181,200
2003, Cycle 1,287,119,170,264,139,197,228
2004, Cycle 1,283,116,169,261,137,200,229
2005, Cycle 1,281,114,151,252,133,172,207
2006, Cycle 1,280,123,170,259,142,199,233
2007, Cycle 1,279,125,180,253,146,201,221
2008, Cycle 1,293,110,168,271,129,203,242
2009, Cycle 1,282,113,163,259,131,194,217
2010, Cycle 1,288,137,168,256,149,185,206
2011, Cycle 1,288,121,186,268,151,209,237
2012, Cycle 1,285,121,169,261,139,198,224
2013, Cycle 1,281,122,179,259,149,199,225
2014, Cycle 1,283,125,176,260,146,202,229
2015, Cycle 1,291,091,173,243,128,188,214
2016, Cycle 1,297,114,173,276,139,206,234
2018, Cycle 1,294,087,182,273,124,215,240
2019, Cycle 1,290,109,168,258,136,186,206
