Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 20,Apr 19,Jun 19,Oct 02,May 12,Jul 27,Aug 24
2002, Cycle 1,Oct 06,May 02,Jun 14,Aug 23,May 21,Jun 30,Jul 19
2003, Cycle 1,Oct 14,Apr 29,Jun 19,Sep 21,May 19,Jul 16,Aug 16
2004, Cycle 1,Oct 09,Apr 25,Jun 17,Sep 17,May 16,Jul 18,Aug 16
2005, Cycle 1,Oct 08,Apr 24,May 31,Sep 09,May 13,Jun 21,Jul 26
2006, Cycle 1,Oct 07,May 03,Jun 19,Sep 16,May 22,Jul 18,Aug 21
2007, Cycle 1,Oct 06,May 05,Jun 29,Sep 10,May 26,Jul 20,Aug 09
2008, Cycle 1,Oct 19,Apr 19,Jun 16,Sep 27,May 08,Jul 21,Aug 29
2009, Cycle 1,Oct 09,Apr 23,Jun 12,Sep 16,May 11,Jul 13,Aug 05
2010, Cycle 1,Oct 15,May 17,Jun 17,Sep 13,May 29,Jul 04,Jul 25
2011, Cycle 1,Oct 15,May 01,Jul 05,Sep 25,May 31,Jul 28,Aug 25
2012, Cycle 1,Oct 11,Apr 30,Jun 17,Sep 17,May 18,Jul 16,Aug 11
2013, Cycle 1,Oct 08,May 02,Jun 28,Sep 16,May 29,Jul 18,Aug 13
2014, Cycle 1,Oct 10,May 05,Jun 25,Sep 17,May 26,Jul 21,Aug 17
2015, Cycle 1,Oct 18,Apr 01,Jun 22,Aug 31,May 08,Jul 07,Aug 02
2016, Cycle 1,Oct 23,Apr 23,Jun 21,Oct 02,May 18,Jul 24,Aug 21
2018, Cycle 1,Oct 21,Mar 28,Jul 01,Sep 30,May 04,Aug 03,Aug 28
2019, Cycle 1,Oct 17,Apr 19,Jun 17,Sep 15,May 16,Jul 05,Jul 25
