Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,300,124,221,279,161,243,258
2002, Cycle 1,291,121,171,252,144,188,209
2003, Cycle 1,298,107,168,275,132,201,231
2004, Cycle 1,297,110,203,280,147,231,256
2005, Cycle 1,299,106,157,275,130,186,218
2006, Cycle 1,298,118,188,271,139,212,233
2007, Cycle 1,302,126,196,277,163,220,244
2008, Cycle 1,299,110,151,270,130,164,182
2009, Cycle 1,303,109,167,282,133,186,210
2010, Cycle 1,289,123,163,243,141,182,202
2011, Cycle 1,308,122,183,285,145,210,231
2012, Cycle 1,296,112,181,270,135,206,231
2013, Cycle 1,289,126,195,264,161,216,237
2014, Cycle 1,292,130,182,264,151,203,229
2015, Cycle 1,294,108,155,242,133,170,191
2016, Cycle 1,306,110,194,283,138,225,253
2018, Cycle 1,305,114,217,283,165,237,257
2019, Cycle 1,297,103,172,267,134,193,216
