Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 27,May 04,Aug 09,Oct 06,Jun 10,Aug 31,Sep 15
2002, Cycle 1,Oct 18,May 01,Jun 20,Sep 09,May 24,Jul 07,Jul 28
2003, Cycle 1,Oct 25,Apr 17,Jun 17,Oct 02,May 12,Jul 20,Aug 19
2004, Cycle 1,Oct 23,Apr 19,Jul 21,Oct 06,May 26,Aug 18,Sep 12
2005, Cycle 1,Oct 26,Apr 16,Jun 06,Oct 02,May 10,Jul 05,Aug 06
2006, Cycle 1,Oct 25,Apr 28,Jul 07,Sep 28,May 19,Jul 31,Aug 21
2007, Cycle 1,Oct 29,May 06,Jul 15,Oct 04,Jun 12,Aug 08,Sep 01
2008, Cycle 1,Oct 25,Apr 19,May 30,Sep 26,May 09,Jun 12,Jun 30
2009, Cycle 1,Oct 30,Apr 19,Jun 16,Oct 09,May 13,Jul 05,Jul 29
2010, Cycle 1,Oct 16,May 03,Jun 12,Aug 31,May 21,Jul 01,Jul 21
2011, Cycle 1,Nov 04,May 02,Jul 02,Oct 12,May 25,Jul 29,Aug 19
2012, Cycle 1,Oct 22,Apr 21,Jun 29,Sep 26,May 14,Jul 24,Aug 18
2013, Cycle 1,Oct 16,May 06,Jul 14,Sep 21,Jun 10,Aug 04,Aug 25
2014, Cycle 1,Oct 19,May 10,Jul 01,Sep 21,May 31,Jul 22,Aug 17
2015, Cycle 1,Oct 21,Apr 18,Jun 04,Aug 30,May 13,Jun 19,Jul 10
2016, Cycle 1,Nov 01,Apr 19,Jul 12,Oct 09,May 17,Aug 12,Sep 09
2018, Cycle 1,Nov 01,Apr 24,Aug 05,Oct 10,Jun 14,Aug 25,Sep 14
2019, Cycle 1,Oct 24,Apr 13,Jun 21,Sep 24,May 14,Jul 12,Aug 04
