Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2002, Cycle 1,286,132,195,264,153,215,234
2003, Cycle 1,291,128,162,266,143,179,219
2004, Cycle 1,279,119,158,257,136,183,222
2005, Cycle 1,286,128,157,259,141,169,202
2006, Cycle 1,285,129,159,262,143,172,195
2007, Cycle 1,292,129,175,264,147,207,226
2008, Cycle 1,296,126,198,276,143,224,244
2009, Cycle 1,289,114,147,262,129,168,209
2010, Cycle 1,295,131,162,272,145,174,198
2011, Cycle 1,290,126,160,265,142,173,192
2012, Cycle 1,291,121,181,269,139,209,236
2013, Cycle 1,298,116,160,270,132,192,226
2014, Cycle 1,291,105,155,264,132,174,198
2015, Cycle 1,290,113,152,258,132,167,193
2016, Cycle 1,297,116,162,270,134,186,218
2017, Cycle 1,291,114,159,262,132,194,223
2018, Cycle 1,286,106,189,264,125,220,239
2019, Cycle 1,298,109,154,269,128,185,217
