Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2002, Cycle 1,Oct 13,May 12,Jul 14,Sep 21,Jun 02,Aug 03,Aug 22
2003, Cycle 1,Oct 18,May 08,Jun 11,Sep 23,May 23,Jun 28,Aug 07
2004, Cycle 1,Oct 05,Apr 28,Jun 06,Sep 13,May 15,Jul 01,Aug 09
2005, Cycle 1,Oct 13,May 08,Jun 06,Sep 16,May 21,Jun 18,Jul 21
2006, Cycle 1,Oct 12,May 09,Jun 08,Sep 19,May 23,Jun 21,Jul 14
2007, Cycle 1,Oct 19,May 09,Jun 24,Sep 21,May 27,Jul 26,Aug 14
2008, Cycle 1,Oct 22,May 05,Jul 16,Oct 02,May 22,Aug 11,Aug 31
2009, Cycle 1,Oct 16,Apr 24,May 27,Sep 19,May 09,Jun 17,Jul 28
2010, Cycle 1,Oct 22,May 11,Jun 11,Sep 29,May 25,Jun 23,Jul 17
2011, Cycle 1,Oct 17,May 06,Jun 09,Sep 22,May 22,Jun 22,Jul 11
2012, Cycle 1,Oct 17,Apr 30,Jun 29,Sep 25,May 18,Jul 27,Aug 23
2013, Cycle 1,Oct 25,Apr 26,Jun 09,Sep 27,May 12,Jul 11,Aug 14
2014, Cycle 1,Oct 18,Apr 15,Jun 04,Sep 21,May 12,Jun 23,Jul 17
2015, Cycle 1,Oct 17,Apr 23,Jun 01,Sep 15,May 12,Jun 16,Jul 12
2016, Cycle 1,Oct 23,Apr 25,Jun 10,Sep 26,May 13,Jul 04,Aug 05
2017, Cycle 1,Oct 18,Apr 24,Jun 08,Sep 19,May 12,Jul 13,Aug 11
2018, Cycle 1,Oct 13,Apr 16,Jul 08,Sep 21,May 05,Aug 08,Aug 27
2019, Cycle 1,Oct 25,Apr 19,Jun 03,Sep 26,May 08,Jul 04,Aug 05
