Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,280,118,148,246,133,159,175
2002, Cycle 1,277,132,174,253,148,197,220
2003, Cycle 1,291,126,171,265,143,197,225
2004, Cycle 1,282,119,161,259,137,185,221
2005, Cycle 1,289,125,185,269,141,212,240
2006, Cycle 1,284,130,187,264,146,216,239
2007, Cycle 1,285,122,178,259,143,206,228
2008, Cycle 1,285,128,184,262,151,206,230
2009, Cycle 1,284,115,149,260,130,165,198
2010, Cycle 1,287,131,161,264,145,174,202
2011, Cycle 1,281,127,166,258,144,186,216
2012, Cycle 1,284,122,175,262,139,201,228
2013, Cycle 1,288,120,176,263,140,200,226
2014, Cycle 1,280,115,163,256,138,183,209
2015, Cycle 1,289,122,165,263,140,188,216
2016, Cycle 1,289,118,165,266,136,198,228
2017, Cycle 1,284,119,162,257,136,189,220
2018, Cycle 1,286,110,175,266,130,209,235
2019, Cycle 1,292,115,182,267,138,207,233
