Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,289,121,187,265,148,213,235
2002, Cycle 1,287,117,169,266,139,200,231
2003, Cycle 1,290,119,168,265,139,190,216
2004, Cycle 1,287,118,172,262,141,196,223
2005, Cycle 1,286,122,174,261,142,202,226
2006, Cycle 1,289,125,171,261,144,195,223
2007, Cycle 1,292,114,171,267,137,198,230
2008, Cycle 1,289,116,176,265,141,200,228
2009, Cycle 1,287,116,163,259,135,188,216
2010, Cycle 1,292,128,170,265,147,190,218
2011, Cycle 1,288,123,169,263,144,189,216
2012, Cycle 1,291,117,161,262,136,187,220
2013, Cycle 1,289,122,167,265,141,189,222
2014, Cycle 1,288,111,163,264,133,185,220
2015, Cycle 1,299,114,168,269,136,192,225
2016, Cycle 1,291,112,159,264,133,184,216
2017, Cycle 1,290,115,163,265,134,187,218
2018, Cycle 1,290,113,164,266,132,192,229
2019, Cycle 1,293,114,167,265,135,193,219
