Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 16,May 01,Jul 06,Sep 22,May 28,Aug 01,Aug 23
2002, Cycle 1,Oct 14,Apr 27,Jun 18,Sep 23,May 19,Jul 19,Aug 19
2003, Cycle 1,Oct 17,Apr 29,Jun 17,Sep 22,May 19,Jul 09,Aug 04
2004, Cycle 1,Oct 13,Apr 27,Jun 20,Sep 18,May 20,Jul 14,Aug 10
2005, Cycle 1,Oct 13,May 02,Jun 23,Sep 18,May 22,Jul 21,Aug 14
2006, Cycle 1,Oct 16,May 05,Jun 20,Sep 18,May 24,Jul 14,Aug 11
2007, Cycle 1,Oct 19,Apr 24,Jun 20,Sep 24,May 17,Jul 17,Aug 18
2008, Cycle 1,Oct 15,Apr 25,Jun 24,Sep 21,May 20,Jul 18,Aug 15
2009, Cycle 1,Oct 14,Apr 26,Jun 12,Sep 16,May 15,Jul 07,Aug 04
2010, Cycle 1,Oct 19,May 08,Jun 19,Sep 22,May 27,Jul 09,Aug 06
2011, Cycle 1,Oct 15,May 03,Jun 18,Sep 20,May 24,Jul 08,Aug 04
2012, Cycle 1,Oct 17,Apr 26,Jun 09,Sep 18,May 15,Jul 05,Aug 07
2013, Cycle 1,Oct 16,May 02,Jun 16,Sep 22,May 21,Jul 08,Aug 10
2014, Cycle 1,Oct 15,Apr 21,Jun 12,Sep 21,May 13,Jul 04,Aug 08
2015, Cycle 1,Oct 26,Apr 24,Jun 17,Sep 26,May 16,Jul 11,Aug 13
2016, Cycle 1,Oct 17,Apr 21,Jun 07,Sep 20,May 12,Jul 02,Aug 03
2017, Cycle 1,Oct 17,Apr 25,Jun 12,Sep 22,May 14,Jul 06,Aug 06
2018, Cycle 1,Oct 17,Apr 23,Jun 13,Sep 23,May 12,Jul 11,Aug 17
2019, Cycle 1,Oct 20,Apr 24,Jun 16,Sep 22,May 15,Jul 12,Aug 07
