Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,287,119,176,264,142,206,233
2002, Cycle 1,287,117,162,263,136,191,226
2003, Cycle 1,288,117,163,263,136,186,215
2004, Cycle 1,287,118,169,261,140,192,220
2005, Cycle 1,285,121,169,261,141,192,220
2006, Cycle 1,289,126,168,261,144,191,223
2007, Cycle 1,292,117,168,264,137,200,228
2008, Cycle 1,289,114,171,265,137,196,224
2009, Cycle 1,290,115,159,259,133,186,218
2010, Cycle 1,288,129,168,263,148,186,214
2011, Cycle 1,287,120,166,263,144,186,219
2012, Cycle 1,292,116,162,263,135,189,220
2013, Cycle 1,290,122,164,265,140,187,224
2014, Cycle 1,287,110,165,263,135,187,215
2015, Cycle 1,296,117,163,269,137,191,224
2016, Cycle 1,295,110,154,265,130,180,214
2017, Cycle 1,290,108,155,263,129,180,214
2018, Cycle 1,287,112,161,263,131,188,221
2019, Cycle 1,293,113,158,264,132,181,215
