Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 14,Apr 29,Jun 25,Sep 21,May 22,Jul 25,Aug 21
2002, Cycle 1,Oct 14,Apr 27,Jun 11,Sep 20,May 16,Jul 10,Aug 14
2003, Cycle 1,Oct 15,Apr 27,Jun 12,Sep 20,May 16,Jul 05,Aug 03
2004, Cycle 1,Oct 13,Apr 27,Jun 17,Sep 17,May 19,Jul 10,Aug 07
2005, Cycle 1,Oct 12,May 01,Jun 18,Sep 18,May 21,Jul 11,Aug 08
2006, Cycle 1,Oct 16,May 06,Jun 17,Sep 18,May 24,Jul 10,Aug 11
2007, Cycle 1,Oct 19,Apr 27,Jun 17,Sep 21,May 17,Jul 19,Aug 16
2008, Cycle 1,Oct 15,Apr 23,Jun 19,Sep 21,May 16,Jul 14,Aug 11
2009, Cycle 1,Oct 17,Apr 25,Jun 08,Sep 16,May 13,Jul 05,Aug 06
2010, Cycle 1,Oct 15,May 09,Jun 17,Sep 20,May 28,Jul 05,Aug 02
2011, Cycle 1,Oct 14,Apr 30,Jun 15,Sep 20,May 24,Jul 05,Aug 07
2012, Cycle 1,Oct 18,Apr 25,Jun 10,Sep 19,May 14,Jul 07,Aug 07
2013, Cycle 1,Oct 17,May 02,Jun 13,Sep 22,May 20,Jul 06,Aug 12
2014, Cycle 1,Oct 14,Apr 20,Jun 14,Sep 20,May 15,Jul 06,Aug 03
2015, Cycle 1,Oct 23,Apr 27,Jun 12,Sep 26,May 17,Jul 10,Aug 12
2016, Cycle 1,Oct 21,Apr 19,Jun 02,Sep 21,May 09,Jun 28,Aug 01
2017, Cycle 1,Oct 17,Apr 18,Jun 04,Sep 20,May 09,Jun 29,Aug 02
2018, Cycle 1,Oct 14,Apr 22,Jun 10,Sep 20,May 11,Jul 07,Aug 09
2019, Cycle 1,Oct 20,Apr 23,Jun 07,Sep 21,May 12,Jun 30,Aug 03
