Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,297,108,148,268,126,173,215
2002, Cycle 1,300,098,144,271,120,166,215
2003, Cycle 1,302,101,140,270,119,159,202
2004, Cycle 1,295,098,144,268,116,181,219
2005, Cycle 1,301,101,144,272,120,194,234
2006, Cycle 1,296,108,145,264,125,166,204
2007, Cycle 1,299,100,141,272,119,184,221
2008, Cycle 1,300,098,141,273,118,168,209
2009, Cycle 1,299,097,153,267,119,190,222
2010, Cycle 1,301,111,150,268,129,171,204
2011, Cycle 1,292,107,147,257,125,171,214
2012, Cycle 1,292,104,144,262,122,170,207
2013, Cycle 1,299,099,143,259,119,169,202
2014, Cycle 1,298,094,146,266,116,179,220
2015, Cycle 1,294,101,142,263,119,168,207
2016, Cycle 1,304,100,137,275,117,172,219
2018, Cycle 1,293,093,142,258,114,171,209
2019, Cycle 1,295,097,152,268,118,184,217
