Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 24,Apr 18,May 28,Sep 25,May 06,Jun 22,Aug 03
2002, Cycle 1,Oct 27,Apr 08,May 24,Sep 28,Apr 30,Jun 15,Aug 03
2003, Cycle 1,Oct 29,Apr 11,May 20,Sep 27,Apr 29,Jun 08,Jul 21
2004, Cycle 1,Oct 21,Apr 07,May 23,Sep 24,Apr 25,Jun 29,Aug 06
2005, Cycle 1,Oct 28,Apr 11,May 24,Sep 29,Apr 30,Jul 13,Aug 22
2006, Cycle 1,Oct 23,Apr 18,May 25,Sep 21,May 05,Jun 15,Jul 23
2007, Cycle 1,Oct 26,Apr 10,May 21,Sep 29,Apr 29,Jul 03,Aug 09
2008, Cycle 1,Oct 26,Apr 07,May 20,Sep 29,Apr 27,Jun 16,Jul 27
2009, Cycle 1,Oct 26,Apr 07,Jun 02,Sep 24,Apr 29,Jul 09,Aug 10
2010, Cycle 1,Oct 28,Apr 21,May 30,Sep 25,May 09,Jun 20,Jul 23
2011, Cycle 1,Oct 19,Apr 17,May 27,Sep 14,May 05,Jun 20,Aug 02
2012, Cycle 1,Oct 18,Apr 13,May 23,Sep 18,May 01,Jun 18,Jul 25
2013, Cycle 1,Oct 26,Apr 09,May 23,Sep 16,Apr 29,Jun 18,Jul 21
2014, Cycle 1,Oct 25,Apr 04,May 26,Sep 23,Apr 26,Jun 28,Aug 08
2015, Cycle 1,Oct 21,Apr 11,May 22,Sep 20,Apr 29,Jun 17,Jul 26
2016, Cycle 1,Oct 30,Apr 09,May 16,Oct 01,Apr 26,Jun 20,Aug 06
2018, Cycle 1,Oct 20,Apr 03,May 22,Sep 15,Apr 24,Jun 20,Jul 28
2019, Cycle 1,Oct 22,Apr 07,Jun 01,Sep 25,Apr 28,Jul 03,Aug 05
