Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,290,136,197,272,156,221,244
2002, Cycle 1,288,133,178,258,154,194,214
2003, Cycle 1,290,129,188,268,151,209,234
2004, Cycle 1,284,124,184,266,147,211,239
2005, Cycle 1,292,123,185,272,138,218,235
2006, Cycle 1,281,130,169,256,146,193,223
2007, Cycle 1,294,136,197,274,162,222,246
2008, Cycle 1,296,121,161,273,139,182,210
2009, Cycle 1,292,120,172,272,138,199,230
2010, Cycle 1,287,134,172,253,149,189,210
2011, Cycle 1,293,129,175,270,149,198,231
2012, Cycle 1,293,125,188,271,145,212,237
2013, Cycle 1,286,124,185,262,150,208,233
2014, Cycle 1,291,135,177,262,155,195,221
2015, Cycle 1,284,118,157,246,137,172,193
2016, Cycle 1,300,123,181,276,145,210,237
2018, Cycle 1,296,117,189,274,141,215,241
2019, Cycle 1,293,113,168,267,139,188,216
