Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 17,May 16,Jul 16,Sep 29,Jun 05,Aug 09,Sep 01
2002, Cycle 1,Oct 15,May 13,Jun 27,Sep 15,Jun 03,Jul 13,Aug 02
2003, Cycle 1,Oct 17,May 09,Jul 07,Sep 25,May 31,Jul 28,Aug 22
2004, Cycle 1,Oct 10,May 03,Jul 02,Sep 22,May 26,Jul 29,Aug 26
2005, Cycle 1,Oct 19,May 03,Jul 04,Sep 29,May 18,Aug 06,Aug 23
2006, Cycle 1,Oct 08,May 10,Jun 18,Sep 13,May 26,Jul 12,Aug 11
2007, Cycle 1,Oct 21,May 16,Jul 16,Oct 01,Jun 11,Aug 10,Sep 03
2008, Cycle 1,Oct 22,Apr 30,Jun 09,Sep 29,May 18,Jun 30,Jul 28
2009, Cycle 1,Oct 19,Apr 30,Jun 21,Sep 29,May 18,Jul 18,Aug 18
2010, Cycle 1,Oct 14,May 14,Jun 21,Sep 10,May 29,Jul 08,Jul 29
2011, Cycle 1,Oct 20,May 09,Jun 24,Sep 27,May 29,Jul 17,Aug 19
2012, Cycle 1,Oct 19,May 04,Jul 06,Sep 27,May 24,Jul 30,Aug 24
2013, Cycle 1,Oct 13,May 04,Jul 04,Sep 19,May 30,Jul 27,Aug 21
2014, Cycle 1,Oct 18,May 15,Jun 26,Sep 19,Jun 04,Jul 14,Aug 09
2015, Cycle 1,Oct 11,Apr 28,Jun 06,Sep 03,May 17,Jun 21,Jul 12
2016, Cycle 1,Oct 26,May 02,Jun 29,Oct 02,May 24,Jul 28,Aug 24
2018, Cycle 1,Oct 23,Apr 27,Jul 08,Oct 01,May 21,Aug 03,Aug 29
2019, Cycle 1,Oct 20,Apr 23,Jun 17,Sep 24,May 19,Jul 07,Aug 04
