Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,286,134,182,264,152,212,235
2002, Cycle 1,276,130,183,248,152,205,223
2003, Cycle 1,282,129,181,257,149,203,224
2004, Cycle 1,281,133,185,258,157,209,231
2005, Cycle 1,285,135,184,258,156,210,233
2006, Cycle 1,284,140,184,254,158,204,224
2007, Cycle 1,279,131,188,254,152,210,228
2008, Cycle 1,288,138,179,260,157,199,228
2009, Cycle 1,275,123,164,248,141,192,215
2010, Cycle 1,293,132,163,261,148,176,199
2011, Cycle 1,282,134,188,254,161,207,225
2012, Cycle 1,288,134,186,259,159,204,224
2013, Cycle 1,281,133,181,257,155,205,228
2014, Cycle 1,278,127,174,253,150,192,215
2015, Cycle 1,285,135,179,254,155,199,222
2016, Cycle 1,287,123,172,261,143,204,229
2017, Cycle 1,286,121,173,258,148,193,217
2018, Cycle 1,288,133,213,269,174,230,248
2019, Cycle 1,286,127,171,253,147,189,215
