Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 13,May 14,Jul 01,Sep 21,Jun 01,Jul 31,Aug 23
2002, Cycle 1,Oct 03,May 10,Jul 02,Sep 05,Jun 01,Jul 24,Aug 11
2003, Cycle 1,Oct 09,May 09,Jun 30,Sep 14,May 29,Jul 22,Aug 12
2004, Cycle 1,Oct 07,May 12,Jul 03,Sep 14,Jun 05,Jul 27,Aug 18
2005, Cycle 1,Oct 12,May 15,Jul 03,Sep 15,Jun 05,Jul 29,Aug 21
2006, Cycle 1,Oct 11,May 20,Jul 03,Sep 11,Jun 07,Jul 23,Aug 12
2007, Cycle 1,Oct 06,May 11,Jul 07,Sep 11,Jun 01,Jul 29,Aug 16
2008, Cycle 1,Oct 14,May 17,Jun 27,Sep 16,Jun 05,Jul 17,Aug 15
2009, Cycle 1,Oct 02,May 03,Jun 13,Sep 05,May 21,Jul 11,Aug 03
2010, Cycle 1,Oct 20,May 12,Jun 12,Sep 18,May 28,Jun 25,Jul 18
2011, Cycle 1,Oct 09,May 14,Jul 07,Sep 11,Jun 10,Jul 26,Aug 13
2012, Cycle 1,Oct 14,May 13,Jul 04,Sep 15,Jun 07,Jul 22,Aug 11
2013, Cycle 1,Oct 08,May 13,Jun 30,Sep 14,Jun 04,Jul 24,Aug 16
2014, Cycle 1,Oct 05,May 07,Jun 23,Sep 10,May 30,Jul 11,Aug 03
2015, Cycle 1,Oct 12,May 15,Jun 28,Sep 11,Jun 04,Jul 18,Aug 10
2016, Cycle 1,Oct 13,May 02,Jun 20,Sep 17,May 22,Jul 22,Aug 16
2017, Cycle 1,Oct 13,May 01,Jun 22,Sep 15,May 28,Jul 12,Aug 05
2018, Cycle 1,Oct 15,May 13,Aug 01,Sep 26,Jun 23,Aug 18,Sep 05
2019, Cycle 1,Oct 13,May 07,Jun 20,Sep 10,May 27,Jul 08,Aug 03
