Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,282,138,181,259,157,204,230
2002, Cycle 1,280,146,199,255,173,213,229
2003, Cycle 1,280,132,184,258,155,205,228
2004, Cycle 1,286,150,201,263,175,218,237
2005, Cycle 1,281,138,190,257,163,212,231
2006, Cycle 1,286,148,194,259,168,213,233
2007, Cycle 1,283,134,180,253,154,204,225
2008, Cycle 1,280,142,190,258,164,212,234
2009, Cycle 1,280,128,180,258,152,200,226
2010, Cycle 1,289,139,184,264,158,204,225
2011, Cycle 1,283,143,191,260,164,210,232
2012, Cycle 1,289,136,189,263,161,208,231
2013, Cycle 1,283,134,182,259,156,199,220
2014, Cycle 1,282,133,176,257,154,191,211
2015, Cycle 1,285,135,180,259,156,200,226
2016, Cycle 1,291,132,201,271,159,226,246
2017, Cycle 1,282,129,181,261,153,205,234
2018, Cycle 1,289,135,213,268,176,228,246
2019, Cycle 1,280,138,184,253,160,203,225
