Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 09,May 18,Jun 30,Sep 16,Jun 06,Jul 23,Aug 18
2002, Cycle 1,Oct 07,May 26,Jul 18,Sep 12,Jun 22,Aug 01,Aug 17
2003, Cycle 1,Oct 07,May 12,Jul 03,Sep 15,Jun 04,Jul 24,Aug 16
2004, Cycle 1,Oct 12,May 29,Jul 19,Sep 19,Jun 23,Aug 05,Aug 24
2005, Cycle 1,Oct 08,May 18,Jul 09,Sep 14,Jun 12,Jul 31,Aug 19
2006, Cycle 1,Oct 13,May 28,Jul 13,Sep 16,Jun 17,Aug 01,Aug 21
2007, Cycle 1,Oct 10,May 14,Jun 29,Sep 10,Jun 03,Jul 23,Aug 13
2008, Cycle 1,Oct 06,May 21,Jul 08,Sep 14,Jun 12,Jul 30,Aug 21
2009, Cycle 1,Oct 07,May 08,Jun 29,Sep 15,Jun 01,Jul 19,Aug 14
2010, Cycle 1,Oct 16,May 19,Jul 03,Sep 21,Jun 07,Jul 23,Aug 13
2011, Cycle 1,Oct 10,May 23,Jul 10,Sep 17,Jun 13,Jul 29,Aug 20
2012, Cycle 1,Oct 15,May 15,Jul 07,Sep 19,Jun 09,Jul 26,Aug 18
2013, Cycle 1,Oct 10,May 14,Jul 01,Sep 16,Jun 05,Jul 18,Aug 08
2014, Cycle 1,Oct 09,May 13,Jun 25,Sep 14,Jun 03,Jul 10,Jul 30
2015, Cycle 1,Oct 12,May 15,Jun 29,Sep 16,Jun 05,Jul 19,Aug 14
2016, Cycle 1,Oct 17,May 11,Jul 19,Sep 27,Jun 07,Aug 13,Sep 02
2017, Cycle 1,Oct 09,May 09,Jun 30,Sep 18,Jun 02,Jul 24,Aug 22
2018, Cycle 1,Oct 16,May 15,Aug 01,Sep 25,Jun 25,Aug 16,Sep 03
2019, Cycle 1,Oct 07,May 18,Jul 03,Sep 10,Jun 09,Jul 22,Aug 13
