Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2002, Cycle 1,293,127,183,265,148,207,230
2003, Cycle 1,300,120,175,276,138,209,234
2004, Cycle 1,288,112,160,263,131,185,222
2005, Cycle 1,301,120,204,280,144,225,245
2006, Cycle 1,294,131,206,267,152,226,242
2007, Cycle 1,295,119,187,271,148,212,234
2008, Cycle 1,299,122,197,277,164,221,247
2009, Cycle 1,295,111,150,273,126,182,201
2010, Cycle 1,299,121,156,275,140,178,194
2011, Cycle 1,289,117,152,263,132,184,213
2012, Cycle 1,296,118,183,275,136,213,244
2013, Cycle 1,302,117,184,274,141,209,237
2014, Cycle 1,289,102,166,264,126,197,228
2015, Cycle 1,300,112,180,277,131,205,234
2016, Cycle 1,299,113,172,275,134,202,234
2017, Cycle 1,291,111,168,263,130,196,223
2018, Cycle 1,294,108,203,272,139,222,244
2019, Cycle 1,304,105,186,277,130,216,243
