Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2002, Cycle 1,Oct 20,May 07,Jul 02,Sep 22,May 28,Jul 26,Aug 18
2003, Cycle 1,Oct 27,Apr 30,Jun 24,Oct 03,May 18,Jul 28,Aug 22
2004, Cycle 1,Oct 14,Apr 21,Jun 08,Sep 19,May 10,Jul 03,Aug 09
2005, Cycle 1,Oct 28,Apr 30,Jul 23,Oct 07,May 24,Aug 13,Sep 02
2006, Cycle 1,Oct 21,May 11,Jul 25,Sep 24,Jun 01,Aug 14,Aug 30
2007, Cycle 1,Oct 22,Apr 29,Jul 06,Sep 28,May 28,Jul 31,Aug 22
2008, Cycle 1,Oct 25,May 01,Jul 15,Oct 03,Jun 12,Aug 08,Sep 03
2009, Cycle 1,Oct 22,Apr 21,May 30,Sep 30,May 06,Jul 01,Jul 20
2010, Cycle 1,Oct 26,May 01,Jun 05,Oct 02,May 20,Jun 27,Jul 13
2011, Cycle 1,Oct 16,Apr 27,Jun 01,Sep 20,May 12,Jul 03,Aug 01
2012, Cycle 1,Oct 22,Apr 27,Jul 01,Oct 01,May 15,Jul 31,Aug 31
2013, Cycle 1,Oct 29,Apr 27,Jul 03,Oct 01,May 21,Jul 28,Aug 25
2014, Cycle 1,Oct 16,Apr 12,Jun 15,Sep 21,May 06,Jul 16,Aug 16
2015, Cycle 1,Oct 27,Apr 22,Jun 29,Oct 04,May 11,Jul 24,Aug 22
2016, Cycle 1,Oct 25,Apr 22,Jun 20,Oct 01,May 13,Jul 20,Aug 21
2017, Cycle 1,Oct 18,Apr 21,Jun 17,Sep 20,May 10,Jul 15,Aug 11
2018, Cycle 1,Oct 21,Apr 18,Jul 22,Sep 29,May 19,Aug 10,Sep 01
2019, Cycle 1,Oct 31,Apr 15,Jul 05,Oct 04,May 10,Aug 04,Aug 31
