Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,296,120,188,271,150,213,239
2002, Cycle 1,293,108,168,264,133,198,226
2003, Cycle 1,297,121,181,267,150,203,230
2004, Cycle 1,301,111,181,273,140,201,229
2005, Cycle 1,293,114,165,263,136,186,214
2006, Cycle 1,295,120,173,266,143,196,223
2007, Cycle 1,301,112,165,270,133,196,229
2008, Cycle 1,298,104,172,272,136,201,230
2009, Cycle 1,289,109,152,260,128,176,206
2010, Cycle 1,302,121,168,274,142,190,227
2011, Cycle 1,293,113,162,267,134,188,221
2012, Cycle 1,299,111,166,269,135,191,220
2013, Cycle 1,301,111,167,270,136,194,224
2014, Cycle 1,298,101,159,266,126,181,209
2015, Cycle 1,299,107,161,264,131,182,214
2016, Cycle 1,301,111,161,274,133,184,213
2017, Cycle 1,302,111,182,280,138,211,240
2018, Cycle 1,295,110,156,267,131,182,231
2019, Cycle 1,303,111,166,277,138,192,232
