Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 23,Apr 30,Jul 07,Sep 28,May 30,Aug 01,Aug 27
2002, Cycle 1,Oct 20,Apr 18,Jun 17,Sep 21,May 13,Jul 17,Aug 14
2003, Cycle 1,Oct 24,May 01,Jun 30,Sep 24,May 30,Jul 22,Aug 18
2004, Cycle 1,Oct 27,Apr 20,Jun 29,Sep 29,May 19,Jul 19,Aug 16
2005, Cycle 1,Oct 20,Apr 24,Jun 14,Sep 20,May 16,Jul 05,Aug 02
2006, Cycle 1,Oct 22,Apr 30,Jun 22,Sep 23,May 23,Jul 15,Aug 11
2007, Cycle 1,Oct 28,Apr 22,Jun 14,Sep 27,May 13,Jul 15,Aug 17
2008, Cycle 1,Oct 24,Apr 13,Jun 20,Sep 28,May 15,Jul 19,Aug 17
2009, Cycle 1,Oct 16,Apr 19,Jun 01,Sep 17,May 08,Jun 25,Jul 25
2010, Cycle 1,Oct 29,May 01,Jun 17,Oct 01,May 22,Jul 09,Aug 15
2011, Cycle 1,Oct 20,Apr 23,Jun 11,Sep 24,May 14,Jul 07,Aug 09
2012, Cycle 1,Oct 25,Apr 20,Jun 14,Sep 25,May 14,Jul 09,Aug 07
2013, Cycle 1,Oct 28,Apr 21,Jun 16,Sep 27,May 16,Jul 13,Aug 12
2014, Cycle 1,Oct 25,Apr 11,Jun 08,Sep 23,May 06,Jun 30,Jul 28
2015, Cycle 1,Oct 26,Apr 17,Jun 10,Sep 21,May 11,Jul 01,Aug 02
2016, Cycle 1,Oct 27,Apr 20,Jun 09,Sep 30,May 12,Jul 02,Jul 31
2017, Cycle 1,Oct 29,Apr 21,Jul 01,Oct 07,May 18,Jul 30,Aug 28
2018, Cycle 1,Oct 22,Apr 20,Jun 05,Sep 24,May 11,Jul 01,Aug 19
2019, Cycle 1,Oct 30,Apr 21,Jun 15,Oct 04,May 18,Jul 11,Aug 20
