Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,290,125,190,265,151,216,235
2002, Cycle 1,291,129,188,261,153,210,230
2003, Cycle 1,292,122,175,266,145,197,225
2004, Cycle 1,289,118,180,261,145,203,230
2005, Cycle 1,293,123,172,266,143,195,227
2006, Cycle 1,287,124,182,260,150,203,224
2007, Cycle 1,292,118,176,264,145,199,225
2008, Cycle 1,294,122,179,266,149,200,224
2009, Cycle 1,296,117,191,269,148,216,238
2010, Cycle 1,297,124,176,269,150,196,227
2011, Cycle 1,294,124,178,265,150,199,227
2012, Cycle 1,293,116,174,266,142,199,228
2013, Cycle 1,295,115,175,265,143,197,224
2014, Cycle 1,294,110,171,264,141,194,220
2015, Cycle 1,295,110,174,267,141,199,226
2016, Cycle 1,300,103,170,273,137,196,228
2018, Cycle 1,296,109,173,266,135,199,227
2019, Cycle 1,302,108,180,273,139,207,236
