Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 17,May 05,Jul 09,Sep 22,May 31,Aug 04,Aug 23
2002, Cycle 1,Oct 18,May 09,Jul 07,Sep 18,Jun 02,Jul 29,Aug 18
2003, Cycle 1,Oct 19,May 02,Jun 24,Sep 23,May 25,Jul 16,Aug 13
2004, Cycle 1,Oct 15,Apr 27,Jun 28,Sep 17,May 24,Jul 21,Aug 17
2005, Cycle 1,Oct 20,May 03,Jun 21,Sep 23,May 23,Jul 14,Aug 15
2006, Cycle 1,Oct 14,May 04,Jul 01,Sep 17,May 30,Jul 22,Aug 12
2007, Cycle 1,Oct 19,Apr 28,Jun 25,Sep 21,May 25,Jul 18,Aug 13
2008, Cycle 1,Oct 20,May 01,Jun 27,Sep 22,May 28,Jul 18,Aug 11
2009, Cycle 1,Oct 23,Apr 27,Jul 10,Sep 26,May 28,Aug 04,Aug 26
2010, Cycle 1,Oct 24,May 04,Jun 25,Sep 26,May 30,Jul 15,Aug 15
2011, Cycle 1,Oct 21,May 04,Jun 27,Sep 22,May 30,Jul 18,Aug 15
2012, Cycle 1,Oct 19,Apr 25,Jun 22,Sep 22,May 21,Jul 17,Aug 15
2013, Cycle 1,Oct 22,Apr 25,Jun 24,Sep 22,May 23,Jul 16,Aug 12
2014, Cycle 1,Oct 21,Apr 20,Jun 20,Sep 21,May 21,Jul 13,Aug 08
2015, Cycle 1,Oct 22,Apr 20,Jun 23,Sep 24,May 21,Jul 18,Aug 14
2016, Cycle 1,Oct 26,Apr 12,Jun 18,Sep 29,May 16,Jul 14,Aug 15
2018, Cycle 1,Oct 23,Apr 19,Jun 22,Sep 23,May 15,Jul 18,Aug 15
2019, Cycle 1,Oct 29,Apr 18,Jun 29,Sep 30,May 19,Jul 26,Aug 24
