Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,285,129,187,265,154,213,238
2002, Cycle 1,287,123,175,261,145,200,226
2003, Cycle 1,286,121,164,260,139,187,216
2004, Cycle 1,285,126,177,258,148,200,225
2005, Cycle 1,285,129,173,260,148,194,220
2006, Cycle 1,286,129,173,260,147,194,223
2007, Cycle 1,293,126,175,263,145,198,223
2008, Cycle 1,285,122,174,262,146,195,223
2009, Cycle 1,284,119,162,260,137,188,225
2010, Cycle 1,288,132,173,263,150,191,216
2011, Cycle 1,289,128,168,266,145,203,237
2012, Cycle 1,291,123,171,263,143,196,224
2013, Cycle 1,287,125,170,264,144,193,230
2014, Cycle 1,285,119,169,261,143,189,218
2015, Cycle 1,293,124,168,266,144,187,215
2016, Cycle 1,291,117,164,267,138,191,226
2017, Cycle 1,289,118,166,265,139,191,224
2018, Cycle 1,290,115,166,269,136,196,234
2019, Cycle 1,296,119,165,270,139,190,226
