Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 12,May 09,Jul 06,Sep 22,Jun 03,Aug 01,Aug 26
2002, Cycle 1,Oct 14,May 03,Jun 24,Sep 18,May 25,Jul 19,Aug 14
2003, Cycle 1,Oct 13,May 01,Jun 13,Sep 17,May 19,Jul 06,Aug 04
2004, Cycle 1,Oct 11,May 05,Jun 25,Sep 14,May 27,Jul 18,Aug 12
2005, Cycle 1,Oct 12,May 09,Jun 22,Sep 17,May 28,Jul 13,Aug 08
2006, Cycle 1,Oct 13,May 09,Jun 22,Sep 17,May 27,Jul 13,Aug 11
2007, Cycle 1,Oct 20,May 06,Jun 24,Sep 20,May 25,Jul 17,Aug 11
2008, Cycle 1,Oct 11,May 01,Jun 22,Sep 18,May 25,Jul 13,Aug 10
2009, Cycle 1,Oct 11,Apr 29,Jun 11,Sep 17,May 17,Jul 07,Aug 13
2010, Cycle 1,Oct 15,May 12,Jun 22,Sep 20,May 30,Jul 10,Aug 04
2011, Cycle 1,Oct 16,May 08,Jun 17,Sep 23,May 25,Jul 22,Aug 25
2012, Cycle 1,Oct 17,May 02,Jun 19,Sep 19,May 22,Jul 14,Aug 11
2013, Cycle 1,Oct 14,May 05,Jun 19,Sep 21,May 24,Jul 12,Aug 18
2014, Cycle 1,Oct 12,Apr 29,Jun 18,Sep 18,May 23,Jul 08,Aug 06
2015, Cycle 1,Oct 20,May 04,Jun 17,Sep 23,May 24,Jul 06,Aug 03
2016, Cycle 1,Oct 17,Apr 26,Jun 12,Sep 23,May 17,Jul 09,Aug 13
2017, Cycle 1,Oct 16,Apr 28,Jun 15,Sep 22,May 19,Jul 10,Aug 12
2018, Cycle 1,Oct 17,Apr 25,Jun 15,Sep 26,May 16,Jul 15,Aug 22
2019, Cycle 1,Oct 23,Apr 29,Jun 14,Sep 27,May 19,Jul 09,Aug 14
