Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,302,106,160,274,127,197,230
2002, Cycle 1,306,105,163,276,130,190,224
2003, Cycle 1,296,108,157,264,129,192,226
2004, Cycle 1,305,102,150,274,122,179,223
2005, Cycle 1,303,105,156,269,126,187,224
2006, Cycle 1,306,103,149,272,125,190,229
2007, Cycle 1,307,096,157,274,119,189,225
2008, Cycle 1,310,100,159,275,125,190,225
2009, Cycle 1,301,100,141,269,121,164,190
2010, Cycle 1,308,112,165,275,135,193,226
2011, Cycle 1,309,107,155,274,129,189,226
2012, Cycle 1,309,104,147,274,124,177,223
2013, Cycle 1,310,112,160,273,132,188,222
2014, Cycle 1,304,092,146,272,117,177,214
2015, Cycle 1,309,102,148,276,121,184,227
2016, Cycle 1,316,097,146,280,119,175,217
2017, Cycle 1,302,088,145,269,122,171,210
2018, Cycle 1,306,097,149,270,120,177,213
2019, Cycle 1,309,098,145,282,118,181,229
