Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 29,Apr 16,Jun 09,Oct 01,May 07,Jul 16,Aug 18
2002, Cycle 1,Nov 02,Apr 15,Jun 12,Oct 03,May 10,Jul 09,Aug 12
2003, Cycle 1,Oct 23,Apr 18,Jun 06,Sep 21,May 09,Jul 11,Aug 14
2004, Cycle 1,Oct 31,Apr 11,May 29,Sep 30,May 01,Jun 27,Aug 10
2005, Cycle 1,Oct 30,Apr 15,Jun 05,Sep 26,May 06,Jul 06,Aug 12
2006, Cycle 1,Nov 02,Apr 13,May 29,Sep 29,May 05,Jul 09,Aug 17
2007, Cycle 1,Nov 03,Apr 06,Jun 06,Oct 01,Apr 29,Jul 08,Aug 13
2008, Cycle 1,Nov 05,Apr 09,Jun 07,Oct 01,May 04,Jul 08,Aug 12
2009, Cycle 1,Oct 28,Apr 10,May 21,Sep 26,May 01,Jun 13,Jul 09
2010, Cycle 1,Nov 04,Apr 22,Jun 14,Oct 02,May 15,Jul 12,Aug 14
2011, Cycle 1,Nov 05,Apr 17,Jun 04,Oct 01,May 09,Jul 08,Aug 14
2012, Cycle 1,Nov 04,Apr 13,May 26,Sep 30,May 03,Jun 25,Aug 10
2013, Cycle 1,Nov 06,Apr 22,Jun 09,Sep 30,May 12,Jul 07,Aug 10
2014, Cycle 1,Oct 31,Apr 02,May 26,Sep 29,Apr 27,Jun 26,Aug 02
2015, Cycle 1,Nov 05,Apr 12,May 28,Oct 03,May 01,Jul 03,Aug 15
2016, Cycle 1,Nov 11,Apr 06,May 25,Oct 06,Apr 28,Jun 23,Aug 04
2017, Cycle 1,Oct 29,Mar 29,May 25,Sep 26,May 02,Jun 20,Jul 29
2018, Cycle 1,Nov 02,Apr 07,May 29,Sep 27,Apr 30,Jun 26,Aug 01
2019, Cycle 1,Nov 05,Apr 08,May 25,Oct 09,Apr 28,Jun 30,Aug 17
