Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,292,114,158,270,134,185,229
2002, Cycle 1,300,122,170,269,142,198,228
2003, Cycle 1,294,101,156,264,133,173,204
2004, Cycle 1,291,112,165,261,135,192,222
2005, Cycle 1,296,115,160,267,134,185,218
2006, Cycle 1,290,116,159,267,134,184,227
2007, Cycle 1,297,112,153,265,132,174,220
2008, Cycle 1,295,112,160,268,135,187,219
2009, Cycle 1,297,110,156,270,129,190,228
2010, Cycle 1,300,123,165,273,143,185,219
2011, Cycle 1,294,118,160,267,138,185,219
2012, Cycle 1,292,111,155,264,129,179,213
2013, Cycle 1,294,112,158,265,132,183,222
2014, Cycle 1,293,105,159,261,132,182,210
2015, Cycle 1,294,110,154,266,131,180,219
2016, Cycle 1,300,109,155,270,129,178,215
2018, Cycle 1,291,105,153,260,125,182,215
2019, Cycle 1,297,108,157,269,129,186,222
