Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 19,Apr 24,Jun 07,Sep 27,May 14,Jul 04,Aug 17
2002, Cycle 1,Oct 27,May 02,Jun 19,Sep 26,May 22,Jul 17,Aug 16
2003, Cycle 1,Oct 21,Apr 11,Jun 05,Sep 21,May 13,Jun 22,Jul 23
2004, Cycle 1,Oct 17,Apr 21,Jun 13,Sep 17,May 14,Jul 10,Aug 09
2005, Cycle 1,Oct 23,Apr 25,Jun 09,Sep 24,May 14,Jul 04,Aug 06
2006, Cycle 1,Oct 17,Apr 26,Jun 08,Sep 24,May 14,Jul 03,Aug 15
2007, Cycle 1,Oct 24,Apr 22,Jun 02,Sep 22,May 12,Jun 23,Aug 08
2008, Cycle 1,Oct 21,Apr 21,Jun 08,Sep 24,May 14,Jul 05,Aug 06
2009, Cycle 1,Oct 24,Apr 20,Jun 05,Sep 27,May 09,Jul 09,Aug 16
2010, Cycle 1,Oct 27,May 03,Jun 14,Sep 30,May 23,Jul 04,Aug 07
2011, Cycle 1,Oct 21,Apr 28,Jun 09,Sep 24,May 18,Jul 04,Aug 07
2012, Cycle 1,Oct 18,Apr 20,Jun 03,Sep 20,May 08,Jun 27,Jul 31
2013, Cycle 1,Oct 21,Apr 22,Jun 07,Sep 22,May 12,Jul 02,Aug 10
2014, Cycle 1,Oct 20,Apr 15,Jun 08,Sep 18,May 12,Jul 01,Jul 29
2015, Cycle 1,Oct 21,Apr 20,Jun 03,Sep 23,May 11,Jun 29,Aug 07
2016, Cycle 1,Oct 26,Apr 18,Jun 03,Sep 26,May 08,Jun 26,Aug 02
2018, Cycle 1,Oct 18,Apr 15,Jun 02,Sep 17,May 05,Jul 01,Aug 03
2019, Cycle 1,Oct 24,Apr 18,Jun 06,Sep 26,May 09,Jul 05,Aug 10
