Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,300,115,147,274,128,168,213
2002, Cycle 1,304,103,145,269,121,170,206
2003, Cycle 1,299,108,149,273,126,170,219
2004, Cycle 1,305,106,144,277,121,170,222
2005, Cycle 1,302,114,149,266,129,170,213
2006, Cycle 1,302,120,160,262,136,181,206
2007, Cycle 1,309,111,146,284,127,175,224
2008, Cycle 1,302,102,155,275,121,188,228
2009, Cycle 1,299,106,145,274,124,164,196
2010, Cycle 1,308,118,157,278,135,179,220
2011, Cycle 1,301,113,150,273,129,172,215
2012, Cycle 1,309,110,146,276,126,169,217
2013, Cycle 1,307,115,155,278,133,175,210
2014, Cycle 1,300,99,141,276,117,167,211
2015, Cycle 1,310,106,141,281,122,163,206
2016, Cycle 1,305,106,145,277,123,172,213
2017, Cycle 1,305,102,138,283,117,164,221
2018, Cycle 1,304,104,145,280,121,173,216
2019, Cycle 1,305,103,146,280,120,176,222
2001, Cycle 1,300,115,147,274,128,168,213
2002, Cycle 1,304,103,145,269,121,170,206
2003, Cycle 1,299,108,149,273,126,170,219
2004, Cycle 1,305,106,144,277,121,170,222
2005, Cycle 1,302,114,149,266,129,170,213
2006, Cycle 1,302,120,160,262,136,181,206
2007, Cycle 1,309,111,146,284,127,175,224
2008, Cycle 1,302,102,155,275,121,188,228
2009, Cycle 1,299,106,145,274,124,164,196
2010, Cycle 1,308,118,157,278,135,179,220
2011, Cycle 1,301,113,150,273,129,172,215
2012, Cycle 1,309,110,146,276,126,169,217
2013, Cycle 1,307,115,155,278,133,175,210
2014, Cycle 1,300,99,141,276,117,167,211
2015, Cycle 1,310,106,141,281,122,163,206
2016, Cycle 1,305,106,145,277,123,172,213
2017, Cycle 1,305,102,138,283,117,164,221
2018, Cycle 1,304,104,145,280,121,173,216
2019, Cycle 1,305,103,146,280,120,176,222
