Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 27,Apr 25,May 27,Oct 01,May 08,Jun 17,Aug 01
2002, Cycle 1,Oct 31,Apr 13,May 25,Sep 26,May 01,Jun 19,Jul 25
2003, Cycle 1,Oct 26,Apr 18,May 29,Sep 30,May 06,Jun 19,Aug 07
2004, Cycle 1,Oct 31,Apr 15,May 23,Oct 03,Apr 30,Jun 18,Aug 09
2005, Cycle 1,Oct 29,Apr 24,May 29,Sep 23,May 09,Jun 19,Aug 01
2006, Cycle 1,Oct 29,Apr 30,Jun 09,Sep 19,May 16,Jun 30,Jul 25
2007, Cycle 1,Nov 05,Apr 21,May 26,Oct 11,May 07,Jun 24,Aug 12
2008, Cycle 1,Oct 28,Apr 11,Jun 03,Oct 01,Apr 30,Jul 06,Aug 15
2009, Cycle 1,Oct 26,Apr 16,May 25,Oct 01,May 04,Jun 13,Jul 15
2010, Cycle 1,Nov 04,Apr 28,Jun 06,Oct 05,May 15,Jun 28,Aug 08
2011, Cycle 1,Oct 28,Apr 23,May 30,Sep 30,May 09,Jun 21,Aug 03
2012, Cycle 1,Nov 04,Apr 19,May 25,Oct 02,May 05,Jun 17,Aug 04
2013, Cycle 1,Nov 03,Apr 25,Jun 04,Oct 05,May 13,Jun 24,Jul 29
2014, Cycle 1,Oct 27,Apr 09,May 21,Oct 03,Apr 27,Jun 16,Jul 30
2015, Cycle 1,Nov 06,Apr 16,May 21,Oct 08,May 02,Jun 12,Jul 25
2016, Cycle 1,Oct 31,Apr 15,May 24,Oct 03,May 02,Jun 20,Jul 31
2017, Cycle 1,Nov 01,Apr 12,May 18,Oct 10,Apr 27,Jun 13,Aug 09
2018, Cycle 1,Oct 31,Apr 14,May 25,Oct 07,May 01,Jun 22,Aug 04
2019, Cycle 1,Nov 01,Apr 13,May 26,Oct 07,Apr 30,Jun 25,Aug 10
Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 27,Apr 25,May 27,Oct 01,May 08,Jun 17,Aug 01
2002, Cycle 1,Oct 31,Apr 13,May 25,Sep 26,May 01,Jun 19,Jul 25
2003, Cycle 1,Oct 26,Apr 18,May 29,Sep 30,May 06,Jun 19,Aug 07
2004, Cycle 1,Oct 31,Apr 15,May 23,Oct 03,Apr 30,Jun 18,Aug 09
2005, Cycle 1,Oct 29,Apr 24,May 29,Sep 23,May 09,Jun 19,Aug 01
2006, Cycle 1,Oct 29,Apr 30,Jun 09,Sep 19,May 16,Jun 30,Jul 25
2007, Cycle 1,Nov 05,Apr 21,May 26,Oct 11,May 07,Jun 24,Aug 12
2008, Cycle 1,Oct 28,Apr 11,Jun 03,Oct 01,Apr 30,Jul 06,Aug 15
2009, Cycle 1,Oct 26,Apr 16,May 25,Oct 01,May 04,Jun 13,Jul 15
2010, Cycle 1,Nov 04,Apr 28,Jun 06,Oct 05,May 15,Jun 28,Aug 08
2011, Cycle 1,Oct 28,Apr 23,May 30,Sep 30,May 09,Jun 21,Aug 03
2012, Cycle 1,Nov 04,Apr 19,May 25,Oct 02,May 05,Jun 17,Aug 04
2013, Cycle 1,Nov 03,Apr 25,Jun 04,Oct 05,May 13,Jun 24,Jul 29
2014, Cycle 1,Oct 27,Apr 09,May 21,Oct 03,Apr 27,Jun 16,Jul 30
2015, Cycle 1,Nov 06,Apr 16,May 21,Oct 08,May 02,Jun 12,Jul 25
2016, Cycle 1,Oct 31,Apr 15,May 24,Oct 03,May 02,Jun 20,Jul 31
2017, Cycle 1,Nov 01,Apr 12,May 18,Oct 10,Apr 27,Jun 13,Aug 09
2018, Cycle 1,Oct 31,Apr 14,May 25,Oct 07,May 01,Jun 22,Aug 04
2019, Cycle 1,Nov 01,Apr 13,May 26,Oct 07,Apr 30,Jun 25,Aug 10
