Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2002, Cycle 1,Oct 06,May 25,Jul 22,Sep 13,Jun 20,Aug 06,Aug 21
2003, Cycle 1,Oct 06,May 18,Jul 24,Sep 18,Jun 12,Aug 10,Aug 26
2004, Cycle 1,Oct 12,May 15,Aug 10,Sep 26,Jun 30,Aug 24,Sep 07
2005, Cycle 1,Oct 12,May 20,Aug 04,Sep 22,Jul 04,Aug 18,Sep 01
2006, Cycle 1,Oct 09,May 25,Aug 04,Sep 22,Jul 11,Aug 18,Sep 02
2007, Cycle 1,Oct 13,May 22,Aug 07,Sep 27,Jul 10,Aug 23,Sep 08
2008, Cycle 1,Oct 18,May 19,Aug 01,Sep 29,Jun 19,Aug 21,Sep 06
2009, Cycle 1,Oct 14,May 15,Aug 07,Sep 26,Jul 14,Aug 20,Sep 03
2010, Cycle 1,Oct 16,May 22,Jul 31,Sep 26,Jun 24,Aug 19,Sep 04
2011, Cycle 1,Oct 08,May 14,Jul 28,Sep 22,Jun 22,Aug 12,Aug 30
2012, Cycle 1,Oct 16,May 29,Aug 04,Sep 26,Jul 09,Aug 18,Sep 03
2013, Cycle 1,Oct 14,May 22,Jul 18,Sep 21,Jun 21,Aug 05,Aug 24
2014, Cycle 1,Oct 15,May 15,Jul 25,Sep 25,Jun 20,Aug 12,Aug 31
2015, Cycle 1,Oct 16,May 11,Jul 26,Sep 27,Jun 14,Aug 12,Aug 31
2016, Cycle 1,Oct 21,May 16,Jul 25,Sep 28,Jun 15,Aug 15,Sep 03
2018, Cycle 1,Oct 16,Apr 29,Jul 22,Sep 25,Jun 06,Aug 11,Aug 30
2019, Cycle 1,Oct 19,May 02,Jul 21,Sep 29,Jun 07,Aug 11,Aug 31
