Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,302,111,179,270,140,206,234
2002, Cycle 1,287,096,156,256,129,178,209
2003, Cycle 1,296,100,160,265,133,179,210
2004, Cycle 1,293,100,155,265,128,178,208
2005, Cycle 1,297,103,163,264,134,184,208
2006, Cycle 1,297,106,157,269,132,182,220
2007, Cycle 1,292,101,162,259,131,186,211
2008, Cycle 1,297,103,157,263,132,181,217
2009, Cycle 1,292,092,159,257,130,177,201
2010, Cycle 1,301,111,165,266,139,183,206
2011, Cycle 1,301,101,167,267,136,190,214
2012, Cycle 1,294,103,161,262,134,181,209
2013, Cycle 1,296,101,161,260,129,185,215
2014, Cycle 1,299,092,174,263,133,196,220
2015, Cycle 1,296,090,163,262,130,188,217
2016, Cycle 1,301,093,163,266,130,188,219
2018, Cycle 1,301,082,160,267,123,190,220
2019, Cycle 1,303,087,165,266,130,190,222
