Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 29,Apr 21,Jun 28,Sep 27,May 20,Jul 25,Aug 22
2002, Cycle 1,Oct 14,Apr 06,Jun 05,Sep 13,May 09,Jun 27,Jul 28
2003, Cycle 1,Oct 23,Apr 10,Jun 09,Sep 22,May 13,Jun 28,Jul 29
2004, Cycle 1,Oct 19,Apr 09,Jun 03,Sep 21,May 07,Jun 26,Jul 26
2005, Cycle 1,Oct 24,Apr 13,Jun 12,Sep 21,May 14,Jul 03,Jul 27
2006, Cycle 1,Oct 24,Apr 16,Jun 06,Sep 26,May 12,Jul 01,Aug 08
2007, Cycle 1,Oct 19,Apr 11,Jun 11,Sep 16,May 11,Jul 05,Jul 30
2008, Cycle 1,Oct 23,Apr 12,Jun 05,Sep 19,May 11,Jun 29,Aug 04
2009, Cycle 1,Oct 19,Apr 02,Jun 08,Sep 14,May 10,Jun 26,Jul 20
2010, Cycle 1,Oct 28,Apr 21,Jun 14,Sep 23,May 19,Jul 02,Jul 25
2011, Cycle 1,Oct 28,Apr 11,Jun 16,Sep 24,May 16,Jul 09,Aug 02
2012, Cycle 1,Oct 20,Apr 12,Jun 09,Sep 18,May 13,Jun 29,Jul 27
2013, Cycle 1,Oct 23,Apr 11,Jun 10,Sep 17,May 09,Jul 04,Aug 03
2014, Cycle 1,Oct 26,Apr 02,Jun 23,Sep 20,May 13,Jul 15,Aug 08
2015, Cycle 1,Oct 23,Mar 31,Jun 12,Sep 19,May 10,Jul 07,Aug 05
2016, Cycle 1,Oct 27,Apr 02,Jun 11,Sep 22,May 09,Jul 06,Aug 06
2018, Cycle 1,Oct 28,Mar 23,Jun 09,Sep 24,May 03,Jul 09,Aug 08
2019, Cycle 1,Oct 30,Mar 28,Jun 14,Sep 23,May 10,Jul 09,Aug 10
