Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,298,118,159,271,138,180,221
2002, Cycle 1,305,105,147,276,125,168,207
2003, Cycle 1,303,108,148,276,127,165,201
2004, Cycle 1,304,104,151,278,122,184,228
2005, Cycle 1,303,102,141,274,120,162,212
2006, Cycle 1,298,109,148,263,127,183,218
2007, Cycle 1,298,105,143,274,123,167,211
2008, Cycle 1,305,106,151,279,127,179,218
2009, Cycle 1,305,104,145,277,124,165,210
2010, Cycle 1,306,116,156,275,133,177,205
2011, Cycle 1,301,109,147,276,127,175,233
2012, Cycle 1,301,107,149,274,126,180,223
2013, Cycle 1,305,099,144,276,118,177,224
2014, Cycle 1,306,104,151,279,127,176,213
2015, Cycle 1,304,104,147,276,123,171,216
2016, Cycle 1,309,104,148,280,125,169,208
2018, Cycle 1,300,100,150,270,122,179,216
2019, Cycle 1,305,095,138,276,114,179,226
