Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 25,Apr 28,Jun 08,Sep 28,May 18,Jun 29,Aug 09
2002, Cycle 1,Nov 01,Apr 15,May 27,Oct 03,May 05,Jun 17,Jul 26
2003, Cycle 1,Oct 30,Apr 18,May 28,Oct 03,May 07,Jun 14,Jul 20
2004, Cycle 1,Oct 30,Apr 13,May 30,Oct 04,May 01,Jul 02,Aug 15
2005, Cycle 1,Oct 30,Apr 12,May 21,Oct 01,Apr 30,Jun 11,Jul 31
2006, Cycle 1,Oct 25,Apr 19,May 28,Sep 20,May 07,Jul 02,Aug 06
2007, Cycle 1,Oct 25,Apr 15,May 23,Oct 01,May 03,Jun 16,Jul 30
2008, Cycle 1,Oct 31,Apr 15,May 30,Oct 05,May 06,Jun 27,Aug 05
2009, Cycle 1,Nov 01,Apr 14,May 25,Oct 04,May 04,Jun 14,Jul 29
2010, Cycle 1,Nov 02,Apr 26,Jun 05,Oct 02,May 13,Jun 26,Jul 24
2011, Cycle 1,Oct 28,Apr 19,May 27,Oct 03,May 07,Jun 24,Aug 21
2012, Cycle 1,Oct 27,Apr 16,May 28,Sep 30,May 05,Jun 28,Aug 10
2013, Cycle 1,Nov 01,Apr 09,May 24,Oct 03,Apr 28,Jun 26,Aug 12
2014, Cycle 1,Nov 02,Apr 14,May 31,Oct 06,May 07,Jun 25,Aug 01
2015, Cycle 1,Oct 31,Apr 14,May 27,Oct 03,May 03,Jun 20,Aug 04
2016, Cycle 1,Nov 04,Apr 13,May 27,Oct 06,May 04,Jun 17,Jul 26
2018, Cycle 1,Oct 27,Apr 10,May 30,Sep 27,May 02,Jun 28,Aug 04
2019, Cycle 1,Nov 01,Apr 05,May 18,Oct 03,Apr 24,Jun 28,Aug 14
