Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,289,136,198,267,168,216,237
2002, Cycle 1,289,120,167,260,137,194,220
2003, Cycle 1,288,120,163,264,136,187,215
2004, Cycle 1,288,119,176,265,139,200,229
2005, Cycle 1,287,126,168,264,143,194,225
2006, Cycle 1,290,130,168,264,146,189,219
2007, Cycle 1,289,120,184,266,141,210,235
2008, Cycle 1,293,122,182,270,147,205,234
2009, Cycle 1,280,115,152,252,131,174,207
2010, Cycle 1,293,131,172,268,149,195,227
2011, Cycle 1,285,126,171,262,146,193,223
2012, Cycle 1,292,122,169,268,141,194,224
2013, Cycle 1,291,124,169,269,142,193,228
2014, Cycle 1,287,118,169,263,141,196,230
2015, Cycle 1,294,122,166,268,141,189,224
2016, Cycle 1,287,115,166,265,135,194,226
2017, Cycle 1,292,120,180,269,144,205,233
2018, Cycle 1,293,117,185,271,141,212,239
2019, Cycle 1,295,118,165,270,136,197,231
