Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 16,May 16,Jul 17,Sep 24,Jun 17,Aug 04,Aug 25
2002, Cycle 1,Oct 16,Apr 30,Jun 16,Sep 17,May 17,Jul 13,Aug 08
2003, Cycle 1,Oct 15,Apr 30,Jun 12,Sep 21,May 16,Jul 06,Aug 03
2004, Cycle 1,Oct 14,Apr 28,Jun 24,Sep 21,May 18,Jul 18,Aug 16
2005, Cycle 1,Oct 14,May 06,Jun 17,Sep 21,May 23,Jul 13,Aug 13
2006, Cycle 1,Oct 17,May 10,Jun 17,Sep 21,May 26,Jul 08,Aug 07
2007, Cycle 1,Oct 16,Apr 30,Jul 03,Sep 23,May 21,Jul 29,Aug 23
2008, Cycle 1,Oct 19,May 01,Jun 30,Sep 26,May 26,Jul 23,Aug 21
2009, Cycle 1,Oct 07,Apr 25,Jun 01,Sep 09,May 11,Jun 23,Jul 26
2010, Cycle 1,Oct 20,May 11,Jun 21,Sep 25,May 29,Jul 14,Aug 15
2011, Cycle 1,Oct 12,May 06,Jun 20,Sep 19,May 26,Jul 12,Aug 11
2012, Cycle 1,Oct 18,May 01,Jun 17,Sep 24,May 20,Jul 12,Aug 11
2013, Cycle 1,Oct 18,May 04,Jun 18,Sep 26,May 22,Jul 12,Aug 16
2014, Cycle 1,Oct 14,Apr 28,Jun 18,Sep 20,May 21,Jul 15,Aug 18
2015, Cycle 1,Oct 21,May 02,Jun 15,Sep 25,May 21,Jul 08,Aug 12
2016, Cycle 1,Oct 13,Apr 24,Jun 14,Sep 21,May 14,Jul 12,Aug 13
2017, Cycle 1,Oct 19,Apr 30,Jun 29,Sep 26,May 24,Jul 24,Aug 21
2018, Cycle 1,Oct 20,Apr 27,Jul 04,Sep 28,May 21,Jul 31,Aug 27
2019, Cycle 1,Oct 22,Apr 28,Jun 14,Sep 27,May 16,Jul 16,Aug 19
