Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,308,116,184,277,145,210,237
2002, Cycle 1,301,102,166,269,133,190,222
2003, Cycle 1,304,117,178,266,142,205,231
2004, Cycle 1,307,106,172,274,137,199,227
2005, Cycle 1,305,112,181,275,140,209,235
2006, Cycle 1,302,106,161,274,128,190,223
2007, Cycle 1,311,106,176,283,132,208,239
2008, Cycle 1,306,108,173,273,136,199,227
2009, Cycle 1,303,107,171,277,133,202,232
2010, Cycle 1,310,122,175,272,145,200,228
2011, Cycle 1,306,115,176,279,136,211,241
2012, Cycle 1,314,107,170,277,132,196,226
2013, Cycle 1,310,115,170,273,138,201,232
2014, Cycle 1,312,100,170,284,129,200,237
2015, Cycle 1,310,108,170,278,132,209,242
2016, Cycle 1,317,104,167,284,132,195,232
2017, Cycle 1,310,103,163,278,126,196,229
2018, Cycle 1,312,104,163,280,127,192,226
2019, Cycle 1,310,101,163,281,123,196,241
