Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Nov 04,Apr 26,Jul 03,Oct 04,May 25,Jul 29,Aug 25
2002, Cycle 1,Oct 28,Apr 12,Jun 15,Sep 26,May 13,Jul 09,Aug 10
2003, Cycle 1,Oct 31,Apr 27,Jun 27,Sep 23,May 22,Jul 24,Aug 19
2004, Cycle 1,Nov 02,Apr 15,Jun 20,Sep 30,May 16,Jul 17,Aug 14
2005, Cycle 1,Nov 01,Apr 22,Jun 30,Oct 02,May 20,Jul 28,Aug 23
2006, Cycle 1,Oct 29,Apr 16,Jun 10,Oct 01,May 08,Jul 09,Aug 11
2007, Cycle 1,Nov 07,Apr 16,Jun 25,Oct 10,May 12,Jul 27,Aug 27
2008, Cycle 1,Nov 01,Apr 17,Jun 21,Sep 29,May 15,Jul 17,Aug 14
2009, Cycle 1,Oct 30,Apr 17,Jun 20,Oct 04,May 13,Jul 21,Aug 20
2010, Cycle 1,Nov 06,May 02,Jun 24,Sep 29,May 25,Jul 19,Aug 16
2011, Cycle 1,Nov 02,Apr 25,Jun 25,Oct 06,May 16,Jul 30,Aug 29
2012, Cycle 1,Nov 09,Apr 16,Jun 18,Oct 03,May 11,Jul 14,Aug 13
2013, Cycle 1,Nov 06,Apr 25,Jun 19,Sep 30,May 18,Jul 20,Aug 20
2014, Cycle 1,Nov 08,Apr 10,Jun 19,Oct 11,May 09,Jul 19,Aug 25
2015, Cycle 1,Nov 06,Apr 18,Jun 19,Oct 05,May 12,Jul 28,Aug 30
2016, Cycle 1,Nov 12,Apr 13,Jun 15,Oct 10,May 11,Jul 13,Aug 19
2017, Cycle 1,Nov 06,Apr 13,Jun 12,Oct 05,May 06,Jul 15,Aug 17
2018, Cycle 1,Nov 08,Apr 14,Jun 12,Oct 07,May 07,Jul 11,Aug 14
2019, Cycle 1,Nov 06,Apr 11,Jun 12,Oct 08,May 03,Jul 15,Aug 29
