Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,298,110,150,272,127,181,230
2002, Cycle 1,298,098,146,273,119,185,222
2003, Cycle 1,302,103,140,276,120,160,209
2004, Cycle 1,299,098,138,274,114,168,211
2005, Cycle 1,302,101,138,276,117,170,217
2006, Cycle 1,297,109,148,267,127,173,217
2007, Cycle 1,300,102,142,273,119,165,212
2008, Cycle 1,302,102,142,275,120,181,223
2009, Cycle 1,301,096,140,270,114,180,224
2010, Cycle 1,304,111,148,274,128,169,207
2011, Cycle 1,296,108,143,264,123,173,215
2012, Cycle 1,296,103,141,268,120,166,211
2013, Cycle 1,302,097,142,262,118,168,207
2014, Cycle 1,300,097,143,273,118,179,224
2015, Cycle 1,296,101,143,270,119,169,214
2016, Cycle 1,303,098,134,276,115,157,211
2018, Cycle 1,295,092,141,269,115,169,214
2019, Cycle 1,293,098,141,264,116,166,208
