Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Oct 25,Apr 20,May 30,Sep 29,May 07,Jun 30,Aug 18
2002, Cycle 1,Oct 25,Apr 08,May 26,Sep 30,Apr 29,Jul 04,Aug 10
2003, Cycle 1,Oct 29,Apr 13,May 20,Oct 03,Apr 30,Jun 09,Jul 28
2004, Cycle 1,Oct 25,Apr 07,May 17,Sep 30,Apr 23,Jun 16,Jul 29
2005, Cycle 1,Oct 29,Apr 11,May 18,Oct 03,Apr 27,Jun 19,Aug 05
2006, Cycle 1,Oct 24,Apr 19,May 28,Sep 24,May 07,Jun 22,Aug 05
2007, Cycle 1,Oct 27,Apr 12,May 22,Sep 30,Apr 29,Jun 14,Jul 31
2008, Cycle 1,Oct 28,Apr 11,May 21,Oct 01,Apr 29,Jun 29,Aug 10
2009, Cycle 1,Oct 28,Apr 06,May 20,Sep 27,Apr 24,Jun 29,Aug 12
2010, Cycle 1,Oct 31,Apr 21,May 28,Oct 01,May 08,Jun 18,Jul 26
2011, Cycle 1,Oct 23,Apr 18,May 23,Sep 21,May 03,Jun 22,Aug 03
2012, Cycle 1,Oct 22,Apr 12,May 20,Sep 24,Apr 29,Jun 14,Jul 29
2013, Cycle 1,Oct 29,Apr 07,May 22,Sep 19,Apr 28,Jun 17,Jul 26
2014, Cycle 1,Oct 27,Apr 07,May 23,Sep 30,Apr 28,Jun 28,Aug 12
2015, Cycle 1,Oct 23,Apr 11,May 23,Sep 27,Apr 29,Jun 18,Aug 02
2016, Cycle 1,Oct 29,Apr 07,May 13,Oct 02,Apr 24,Jun 05,Jul 29
2018, Cycle 1,Oct 22,Apr 02,May 21,Sep 26,Apr 25,Jun 18,Aug 02
2019, Cycle 1,Oct 20,Apr 08,May 21,Sep 21,Apr 26,Jun 15,Jul 27
