ID,latitude,longitude,N_S_Y_km,E_W_X_km
Site1,102.73,36.69,0.5,0.5
Site2,103.69,37.45,0.5,0.5
Site3,104.47,37.03,0.5,0.5
Site4,105.91,38.98,0.5,0.5
Site5,106.59,34.2,0.5,0.5
Site6,108.6,35.45,0.5,0.5
Site7,109.33,40.72,0.5,0.5
Site8,109.34,40.74,0.5,0.5
Site9,109.38,40.73,0.5,0.5
Site10,109.95,35.9,0.5,0.5
Site11,110.61,39.29,0.5,0.5
Site12,111.24,40.84,0.5,0.5
Site13,111.29,40.8,0.5,0.5
Site14,111.4,37.92,0.5,0.5
Site15,111.96,38.67,0.5,0.5
Site16,117.03,42.99,0.5,0.5
Site17,117.06,41.71,0.5,0.5
Site18,117.06,41.71,0.5,0.5
Site19,117.72,43.63,0.5,0.5
Site20,117.74,43.59,0.5,0.5
Site21,117.85,35.56,0.5,0.5
Site22,118.43,41.36,0.5,0.5
Site23,118.52,41.31,0.5,0.5
Site24,118.64,36.2,0.5,0.5
Site25,118.8,41.87,0.5,0.5
Site26,120.57,40.01,0.5,0.5
Site27,121.7,41.61,0.5,0.5
Site28,123.11,41.02,0.5,0.5
