ID,latitude,longitude,N_S_Y_km,E_W_X_km
TLG,36.69,102.73,0.5,0.5
CLS,37.45,103.69,0.5,0.5
HSS,37.03,104.47,0.5,0.5
BS,38.98,105.91,0.5,0.5
TTH,34.2,106.59,0.5,0.5
ZWL,35.45,108.6,0.5,0.5
DHB,40.72,109.33,0.5,0.5
HLS,35.9,109.95,0.5,0.5
SS,39.29,110.61,0.5,0.5
DQS,40.84,111.24,0.5,0.5
LMD,40.8,111.29,0.5,0.5
PQG,37.92,111.4,0.5,0.5
LYS,38.67,111.96,0.5,0.5
KQA,42.99,117.03,0.5,0.5
WC,41.71,117.06,0.5,0.5
KQB,43.63,117.72,0.5,0.5
MS,35.56,117.85,0.5,0.5
HLH,41.36,118.43,0.5,0.5
DWP,41.31,118.52,0.5,0.5
YS,36.2,118.64,0.5,0.5
MAS,41.87,118.8,0.5,0.5
LS,41.61,121.7,0.5,0.5
QS,41.02,123.11,0.5,0.5
