"","TRS2.5.sos","TRS2.5.eos","TRS5.sos","TRS5.eos","DER.sos","DER.pos","DER.eos","UD","SD","DD","RD","Greenup","Maturity","Senescence","Dormancy","sitename","year"
"1",1982-05-23,1982-10-19,1982-06-14,1982-09-26,1982-06-23,1982-08-05,1982-09-18,1982-05-09,1982-07-21,1982-08-22,1982-11-02,1982-05-03,1982-08-05,NA,1982-11-07,"TLG","1982"
"2",1983-05-15,1983-10-17,1983-06-09,1983-09-25,1983-06-19,1983-08-04,1983-09-17,1983-04-30,1983-07-19,1983-08-21,1983-10-31,1983-04-24,1983-08-04,1983-11-05,NA,"TLG","1983"
"3",1984-05-14,1984-11-04,1984-06-08,1984-10-09,1984-06-16,1984-08-08,1984-10-01,1984-04-27,1984-07-20,1984-08-29,1984-11-21,1984-04-19,1984-08-08,NA,1984-11-27,"TLG","1984"
"4",1985-05-11,1985-10-26,1985-06-04,1985-10-02,1985-06-11,1985-08-02,1985-09-23,1985-04-23,1985-07-14,1985-08-23,1985-11-12,1985-04-16,1985-08-02,NA,1985-11-18,"TLG","1985"
"5",1986-05-07,1986-10-16,1986-05-30,1986-09-21,1986-06-07,1986-07-25,1986-09-12,1986-04-19,1986-07-08,1986-08-13,1986-10-31,1986-04-13,1986-07-25,1986-11-06,NA,"TLG","1986"
"6",1987-04-30,1987-10-05,1987-05-21,1987-09-10,1987-05-27,1987-07-13,1987-08-31,1987-04-14,1987-06-25,1987-08-01,1987-10-20,1987-04-08,1987-07-13,1987-10-26,NA,"TLG","1987"
"7",1988-05-19,1988-10-13,1988-06-03,1988-09-17,1988-06-05,1988-07-16,1988-09-10,1988-05-08,1988-06-28,1988-08-06,1988-10-30,1988-05-04,1988-07-09,1988-08-08,1988-11-07,"TLG","1988"
"8",1989-05-14,1989-11-04,1989-06-07,1989-10-11,1989-06-13,1989-08-09,1989-10-04,1989-04-26,1989-07-17,1989-09-01,1989-11-22,1989-04-19,1989-08-09,NA,1989-11-28,"TLG","1989"
"9",1990-05-07,1990-10-21,1990-05-31,1990-09-28,1990-06-06,1990-07-30,1990-09-23,1990-04-22,1990-07-09,1990-08-22,1990-11-07,1990-04-15,1990-07-30,NA,1990-11-14,"TLG","1990"
"10",1991-04-27,1991-10-28,1991-05-24,1991-10-01,1991-06-03,1991-07-28,1991-09-22,1991-04-10,1991-07-08,1991-08-19,1991-11-14,1991-04-03,1991-07-28,NA,1991-11-22,"TLG","1991"
